#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5   1  30    1e-164  6.7e-161  535.4  19.6     1   249     1   249     1   285 0.96 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5   2  30   1.2e-10   8.1e-07   24.0  11.4   238   286   288   341   273   348 0.85 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5   3  30   9.7e-31   6.3e-27   90.7   0.1   278   354   374   452   361   456 0.91 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5   4  30   0.00081       5.3    1.3   0.0   347   368   477   498   470   515 0.87 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5   5  30  4.6e-147    3e-143  476.8  16.0   417   646   651   880   634   890 0.97 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5   6  30  2.5e-239  1.6e-235  783.1  41.4   647  1061   939  1381   936  1421 0.92 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5   7  30   0.00079       5.2    1.4   4.3  1051  1102  1431  1496  1415  1518 0.69 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5   8  30   7.3e-54   4.7e-50  167.5  18.9  1092  1219  1555  1681  1514  1691 0.86 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5   9  30   2.4e-05      0.16    6.4   0.0  1215  1246  1850  1882  1843  1890 0.81 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  10  30   9.9e-46   6.5e-42  140.5   9.3  1250  1341  2042  2138  2001  2161 0.81 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  11  30   8.8e-50   5.7e-46  153.9   2.7  1340  1444  2176  2292  2163  2301 0.87 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
