#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0904600.1-p1   -           3423 198at5820            -           1815         0 3082.5 192.0   1  11  1.6e-129  5.2e-126  420.2  17.2     1   251     1   260     1   269 0.90 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 198at5820            -           1815         0 3082.5 192.0   2  11   5.3e-05      0.17    7.3  15.6   211   304   258   355   243   368 0.60 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 198at5820            -           1815         0 3082.5 192.0   3  11     0.069   2.3e+02   -3.0  12.8   233   302   385   467   341   484 0.58 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 198at5820            -           1815         0 3082.5 192.0   4  11  3.4e-187  1.1e-183  611.4  11.5   309   620   544   860   527   872 0.92 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 198at5820            -           1815         0 3082.5 192.0   5  11   1.7e-14   5.7e-11   38.8   0.2   580   660   881   968   866   987 0.74 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 198at5820            -           1815         0 3082.5 192.0   6  11    5e-146  1.6e-142  474.9   9.1   642   903  1069  1330  1045  1352 0.95 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 198at5820            -           1815         0 3082.5 192.0   7  11   2.2e-69   7.1e-66  220.8   2.8   902  1033  1433  1581  1426  1587 0.92 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 198at5820            -           1815         0 3082.5 192.0   8  11     3e-45   9.8e-42  140.8   6.3  1031  1155  1649  1789  1634  1798 0.88 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 198at5820            -           1815         0 3082.5 192.0   9  11   2.9e-74   9.5e-71  237.0   7.5  1147  1280  1987  2121  1914  2145 0.88 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 198at5820            -           1815         0 3082.5 192.0  10  11   7.4e-12   2.4e-08   30.1   6.8  1282  1355  2268  2353  2258  2359 0.77 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 198at5820            -           1815         0 3082.5 192.0  11  11  1.5e-290    5e-287  954.0  38.7  1351  1789  2653  3091  2641  3095 0.99 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
