#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2   1  16  4.9e-189  3.2e-185  616.5  42.9     1   344     1   364     1   371 0.95 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2   2  16     2e-38   1.3e-34  116.8   6.8   345   467   462   613   455   622 0.84 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2   3  16     0.038   2.4e+02   -3.5   0.0   467   483   661   677   659   679 0.90 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2   4  16   9.5e-62   6.2e-58  194.2  18.9   509   747   797  1143   741  1149 0.75 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2   5  16   9.5e-26   6.2e-22   74.8   1.4   753   830  1224  1303  1191  1306 0.84 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2   6  16  6.2e-117  4.1e-113  377.3  24.6   827  1074  1325  1599  1318  1601 0.90 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2   7  16   7.2e-60   4.7e-56  188.0   4.9  1074  1195  1654  1779  1651  1783 0.96 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2   8  16   5.8e-54   3.8e-50  168.4  11.3  1195  1322  1824  1962  1820  1966 0.89 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2   9  16   1.3e-71   8.3e-68  227.0  10.3  1318  1446  2007  2144  1989  2151 0.91 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2  10  16    1e-122  6.8e-119  396.5  24.6  1444  1719  2204  2542  2201  2547 0.88 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2  11  16  1.3e-234  8.2e-231  767.8  41.7  1719  2137  2650  3088  2648  3092 0.95 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
