#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1115200.1-p1   -            201 13425at5820          -            164   1.3e-95  316.8  26.0   1   2   8.2e-38   2.7e-35  120.7   4.3     1    87     1    86     1    88 0.91 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115200.1-p1   -            201 13425at5820          -            164   1.3e-95  316.8  26.0   2   2   4.1e-63   1.3e-60  203.0  13.8    55   164    88   201    85   201 0.96 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937700.1-p1   -            381 13425at5820          -            164   3.7e-12   45.4   5.3   1   4         5   1.6e+03   -2.2   0.3    61    70    47    56    16    95 0.60 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937700.1-p1   -            381 13425at5820          -            164   3.7e-12   45.4   5.3   2   4   1.1e-14   3.7e-12   45.4   5.3     2   105   112   213   111   217 0.82 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937700.1-p1   -            381 13425at5820          -            164   3.7e-12   45.4   5.3   3   4       0.5   1.6e+02    1.1   0.6    78   115   229   265   214   288 0.53 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937700.1-p1   -            381 13425at5820          -            164   3.7e-12   45.4   5.3   4   4       4.7   1.5e+03   -2.1   2.6    15    51   334   372   321   379 0.62 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 13425at5820          -            164   5.8e-09   35.1   0.9   1   1   1.8e-11   5.8e-09   35.1   0.9     2    73    53   121    52   180 0.79 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 13425at5820          -            164     6e-08   31.7   2.7   1   2   6.2e-10     2e-07   30.0   2.5     1    92     5    97     5   105 0.79 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 13425at5820          -            164     6e-08   31.7   2.7   2   2      0.51   1.7e+02    1.0   0.4    55    71    83   100    67   141 0.66 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 13425at5820          -            164   1.1e-07   31.0   0.4   1   2   3.2e-10   1.1e-07   31.0   0.4     2    60    55   113    54   125 0.92 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 13425at5820          -            164   1.1e-07   31.0   0.4   2   2       3.9   1.3e+03   -1.8   0.1    55    84   271   300   249   315 0.73 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411800.1-p1   -            328 13425at5820          -            164     2e-07   30.0   0.3   1   1   1.5e-09   4.9e-07   28.8   0.3     2    57     4    63     3    93 0.81 | transcript=PVP01_0411800.1 | gene=PVP01_0411800 | organism=Plasmodium_vivax_P01 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=PvP01_04_v2:474978-476353(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308700.1-p1   -            649 13425at5820          -            164   2.5e-07   29.7   0.0   1   1   1.2e-09   3.9e-07   29.1   0.0     4    67    81   141    78   180 0.82 | transcript=PVP01_0308700.1 | gene=PVP01_0308700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=PvP01_03_v2:414818-416767(+) | protein_length=649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 13425at5820          -            164     3e-07   29.5   0.6   1   2   9.3e-10     3e-07   29.5   0.6     3    53   192   242   190   254 0.94 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 13425at5820          -            164     3e-07   29.5   0.6   2   2       6.4   2.1e+03   -2.5   0.0    55    81   293   317   279   342 0.59 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120300.1-p1   -            380 13425at5820          -            164   3.4e-07   29.3   1.4   1   1   1.1e-09   3.4e-07   29.3   1.4     3    56    47   100    45   136 0.82 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 13425at5820          -            164   3.5e-07   29.2   0.4   1   3   1.1e-09   3.5e-07   29.2   0.4     1    55    33    85    33    99 0.91 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 13425at5820          -            164   3.5e-07   29.2   0.4   2   3       1.6   5.1e+02   -0.5   0.3    57    94   165   201   163   210 0.77 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 13425at5820          -            164   3.5e-07   29.2   0.4   3   3       5.5   1.8e+03   -2.3   3.4    63   107   265   309   204   355 0.66 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1128800.1-p1   -            358 13425at5820          -            164   9.5e-07   27.8   8.2   1   2   5.2e-09   1.7e-06   27.0   4.2     2    70    71   139    70   180 0.75 | transcript=PVP01_1128800.1 | gene=PVP01_1128800 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:1248829-1249905(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1128800.1-p1   -            358 13425at5820          -            164   9.5e-07   27.8   8.2   2   2      0.35   1.1e+02    1.6   0.1    89   107   328   346   319   352 0.79 | transcript=PVP01_1128800.1 | gene=PVP01_1128800 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:1248829-1249905(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 13425at5820          -            164   2.4e-06   26.5   0.2   1   3   7.4e-09   2.4e-06   26.5   0.2     2    56    43    99    42   107 0.87 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 13425at5820          -            164   2.4e-06   26.5   0.2   2   3      0.64   2.1e+02    0.7   0.2    63    94   141   172   100   177 0.66 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 13425at5820          -            164   2.4e-06   26.5   0.2   3   3       4.5   1.5e+03   -2.0   0.0    74   111   286   321   256   331 0.53 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1271300.1-p1   -            406 13425at5820          -            164   3.5e-06   26.0   0.2   1   1   1.9e-08   6.1e-06   25.2   0.2     2    66    82   150    81   200 0.74 | transcript=PVP01_1271300.1 | gene=PVP01_1271300 | organism=Plasmodium_vivax_P01 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=PvP01_12_v2:3014790-3016631(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114000.1-p1   -            856 13425at5820          -            164   7.8e-06   24.9   0.2   1   1   5.6e-08   1.8e-05   23.7   0.2     2    56   304   359   303   411 0.86 | transcript=PVP01_0114000.1 | gene=PVP01_0114000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_01_v2:626753-629323(+) | protein_length=856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0217000.1-p1   -            420 13425at5820          -            164     2e-05   23.5   2.1   1   2   1.7e-07   5.5e-05   22.1   1.5     2    59    85   146    84   208 0.82 | transcript=PVP01_0217000.1 | gene=PVP01_0217000 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein, putative, DnaJ domain containing protein | transcript_product=heat shock protein, putative | location=PvP01_02_v2:734503-736528(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
