#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0117600.1-p1   -           1883 958at5820            -           1125         0 1925.8  70.6   1  10   4.9e-93   3.2e-89  298.6   1.9     1   163     1   180     1   189 0.91 | transcript=PVP01_0117600.1 | gene=PVP01_0117600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=PvP01_01_v2:788082-794548(-) | protein_length=1883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117600.1-p1   -           1883 958at5820            -           1125         0 1925.8  70.6   2  10   2.1e-76   1.4e-72  243.5   0.7   162   292   256   386   252   389 0.97 | transcript=PVP01_0117600.1 | gene=PVP01_0117600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=PvP01_01_v2:788082-794548(-) | protein_length=1883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117600.1-p1   -           1883 958at5820            -           1125         0 1925.8  70.6   3  10  5.4e-148  3.5e-144  480.6   4.6   292   508   438   666   435   669 0.95 | transcript=PVP01_0117600.1 | gene=PVP01_0117600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=PvP01_01_v2:788082-794548(-) | protein_length=1883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117600.1-p1   -           1883 958at5820            -           1125         0 1925.8  70.6   4  10   6.5e-18   4.2e-14   49.8   1.2   505   549   755   799   742   816 0.90 | transcript=PVP01_0117600.1 | gene=PVP01_0117600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=PvP01_01_v2:788082-794548(-) | protein_length=1883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117600.1-p1   -           1883 958at5820            -           1125         0 1925.8  70.6   5  10   9.8e-80   6.4e-76  254.5   0.5   545   694   823   978   808   999 0.92 | transcript=PVP01_0117600.1 | gene=PVP01_0117600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=PvP01_01_v2:788082-794548(-) | protein_length=1883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117600.1-p1   -           1883 958at5820            -           1125         0 1925.8  70.6   6  10   1.9e-49   1.3e-45  154.2   0.1   708   802  1193  1287  1186  1301 0.92 | transcript=PVP01_0117600.1 | gene=PVP01_0117600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=PvP01_01_v2:788082-794548(-) | protein_length=1883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117600.1-p1   -           1883 958at5820            -           1125         0 1925.8  70.6   7  10   7.5e-15   4.9e-11   39.7   0.1   795   835  1373  1421  1366  1425 0.84 | transcript=PVP01_0117600.1 | gene=PVP01_0117600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=PvP01_01_v2:788082-794548(-) | protein_length=1883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117600.1-p1   -           1883 958at5820            -           1125         0 1925.8  70.6   8  10   6.1e-56     4e-52  175.7   1.6   833   947  1459  1575  1452  1587 0.94 | transcript=PVP01_0117600.1 | gene=PVP01_0117600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=PvP01_01_v2:788082-794548(-) | protein_length=1883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117600.1-p1   -           1883 958at5820            -           1125         0 1925.8  70.6   9  10   1.5e-05     0.095    8.9   0.1   942   964  1614  1636  1611  1641 0.92 | transcript=PVP01_0117600.1 | gene=PVP01_0117600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=PvP01_01_v2:788082-794548(-) | protein_length=1883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117600.1-p1   -           1883 958at5820            -           1125         0 1925.8  70.6  10  10   3.2e-81   2.1e-77  259.5   4.9   962  1125  1709  1883  1700  1883 0.92 | transcript=PVP01_0117600.1 | gene=PVP01_0117600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=PvP01_01_v2:788082-794548(-) | protein_length=1883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
