#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1   1  40   1.3e-25   8.3e-22   73.8   6.0     1    80     1    81     1    97 0.85 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1   2  40   3.4e-49   2.2e-45  152.0  16.0    72   236   779   968   762   971 0.81 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1   3  40   2.7e-29   1.8e-25   85.9   1.1   274   350  1407  1487  1370  1497 0.83 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1   4  40  1.5e-133  9.5e-130  432.0  14.1   351   544  1564  1757  1559  1764 0.98 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1   5  40   1.9e-22   1.2e-18   63.2   0.0   540   599  1818  1878  1813  1880 0.92 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1   6  40     6e-73   3.9e-69  230.9  26.6   588   777  1906  2115  1900  2121 0.86 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1   7  40   1.4e-13   9.1e-10   33.8   5.2   771   826  2153  2216  2137  2220 0.88 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1   8  40   6.3e-53   4.1e-49  164.4   5.7   824   924  2406  2511  2399  2525 0.91 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1   9  40   1.1e-13   7.1e-10   34.1   5.5   912   968  2716  2774  2706  2785 0.79 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  10  40   3.4e-46   2.2e-42  142.0   7.2   965  1045  2804  2884  2800  2888 0.96 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  11  40     1e-16   6.5e-13   44.2   3.2  1037  1087  2964  3023  2957  3057 0.74 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
