#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0918700.1-p1   -            155 12971at5820          -            124   1.4e-79  262.4   2.8   1   1     2e-82   1.6e-79  262.1   2.8     1   124    29   155    29   155 0.98 | transcript=PVP01_0918700.1 | gene=PVP01_0918700 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit sigma, putative | transcript_product=AP-1 complex subunit sigma, putative | location=PvP01_09_v2:827036-827647(+) | protein_length=155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531600.1-p1   -            146 12971at5820          -            124   1.4e-25   87.9   5.6   1   1   2.3e-28   1.8e-25   87.5   5.6    10   104    38   136    28   143 0.90 | transcript=PVP01_0531600.1 | gene=PVP01_0531600 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit sigma, putative | transcript_product=AP-4 complex subunit sigma, putative | location=PvP01_05_v2:1336447-1337100(-) | protein_length=146 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407700.1-p1   -            141 12971at5820          -            124   2.5e-24   83.8  10.3   1   1   4.2e-27   3.5e-24   83.4  10.3     2   105    30   135    29   140 0.93 | transcript=PVP01_0407700.1 | gene=PVP01_0407700 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit sigma, putative | transcript_product=AP-2 complex subunit sigma, putative | location=PvP01_04_v2:314416-315296(+) | protein_length=141 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467600.1-p1   -            157 12971at5820          -            124   4.4e-19   66.9   4.2   1   1   7.1e-22   5.8e-19   66.5   4.2    10   115    39   152    30   155 0.85 | transcript=PVP01_1467600.1 | gene=PVP01_1467600 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit sigma, putative | transcript_product=AP-3 complex subunit sigma, putative | location=PvP01_14_v2:2883517-2884851(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1266300.1-p1   -            763 12971at5820          -            124   0.00037   18.7   0.7   1   2   4.5e-07   0.00037   18.7   0.7    32    91    74   135    57   162 0.82 | transcript=PVP01_1266300.1 | gene=PVP01_1266300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=PvP01_12_v2:2754420-2756711(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1266300.1-p1   -            763 12971at5820          -            124   0.00037   18.7   0.7   2   2       1.6   1.3e+03   -2.5   0.1    27    50   596   617   582   640 0.67 | transcript=PVP01_1266300.1 | gene=PVP01_1266300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=PvP01_12_v2:2754420-2756711(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521900.1-p1   -            208 12971at5820          -            124   0.00043   18.5   0.5   1   1   7.9e-07   0.00065   17.9   0.5    37   113   108   186    70   196 0.78 | transcript=PVP01_0521900.1 | gene=PVP01_0521900 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit zeta, putative | transcript_product=coatomer subunit zeta, putative | location=PvP01_05_v2:889945-890571(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920100.1-p1   -            478 12971at5820          -            124     0.001   17.2   2.5   1   1   3.2e-06    0.0026   16.0   2.5    32   105    62   135    50   145 0.87 | transcript=PVP01_0920100.1 | gene=PVP01_0920100 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=PvP01_09_v2:874869-876686(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412400.1-p1   -            458 12971at5820          -            124    0.0038   15.4   6.3   1   2      0.67   5.5e+02   -1.2   0.0    26    46    25    45    12    53 0.75 | transcript=PVP01_1412400.1 | gene=PVP01_1412400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=PvP01_14_v2:547982-549358(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412400.1-p1   -            458 12971at5820          -            124    0.0038   15.4   6.3   2   2   4.8e-06    0.0039   15.4   3.6    29   100    60   131    49   153 0.86 | transcript=PVP01_1412400.1 | gene=PVP01_1412400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=PvP01_14_v2:547982-549358(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
