#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1128800.1-p1   -            358 9129at5820           -            305  1.8e-166  551.3  13.9   1   1  5.1e-169  2.1e-166  551.2  13.9     1   305    38   357    38   357 0.96 | transcript=PVP01_1128800.1 | gene=PVP01_1128800 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:1248829-1249905(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937700.1-p1   -            381 9129at5820           -            305   1.3e-07   29.7   0.5   1   2   3.1e-10   1.3e-07   29.7   0.5    20    91   104   174    90   191 0.90 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937700.1-p1   -            381 9129at5820           -            305   1.3e-07   29.7   0.5   2   2      0.15        61    1.2   9.3    56   107   309   360   263   381 0.70 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 9129at5820           -            305   2.3e-06   25.5   2.5   1   1   1.2e-08   4.8e-06   24.5   2.5    22    96    48   122    39   143 0.89 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 9129at5820           -            305   1.4e-05   23.0   0.4   1   1   4.4e-08   1.8e-05   22.6   0.4    27    92     4    71     1    92 0.81 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 9129at5820           -            305   3.1e-05   21.9   0.7   1   1   1.7e-07     7e-05   20.7   0.7    25    97    49   121    34   131 0.88 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 9129at5820           -            305   5.4e-05   21.1   0.1   1   1     2e-07   8.1e-05   20.5   0.1    28    91    42   107    35   176 0.85 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120300.1-p1   -            380 9129at5820           -            305   6.8e-05   20.7   2.3   1   2   1.7e-07   6.8e-05   20.7   2.3    25    91    42   108    26   137 0.88 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120300.1-p1   -            380 9129at5820           -            305   6.8e-05   20.7   2.3   2   2         1   4.3e+02   -1.6   0.1   105   130   282   307   273   312 0.83 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115200.1-p1   -            201 9129at5820           -            305   0.00011   20.0   3.5   1   2   2.8e-07   0.00011   20.0   3.5    29   101     2    75     1   118 0.78 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115200.1-p1   -            201 9129at5820           -            305   0.00011   20.0   3.5   2   2      0.15        62    1.2   0.3   272   294   121   143   117   150 0.87 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
