#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0728600.1-p1   -           1161 2346at5820           -            854         0 1355.5  29.1   1   3  3.1e-304  3.4e-301  999.9  11.3     6   599    10   737     1   739 0.92 | transcript=PVP01_0728600.1 | gene=PVP01_0728600 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:1198385-1201870(-) | protein_length=1161 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728600.1-p1   -           1161 2346at5820           -            854         0 1355.5  29.1   2   3   1.6e-26   1.8e-23   81.1   0.0   597   651   803   857   800   866 0.94 | transcript=PVP01_0728600.1 | gene=PVP01_0728600 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:1198385-1201870(-) | protein_length=1161 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728600.1-p1   -           1161 2346at5820           -            854         0 1355.5  29.1   3   3   3.7e-87     4e-84  281.7   6.8   652   854   921  1161   903  1161 0.94 | transcript=PVP01_0728600.1 | gene=PVP01_0728600 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:1198385-1201870(-) | protein_length=1161 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 2346at5820           -            854   0.00027   17.7  15.0   1   2   4.7e-07   0.00051   16.7   7.9   435   558   194   324   183   331 0.88 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 2346at5820           -            854   0.00027   17.7  15.0   2   2    0.0017       1.8    5.0   0.6   370   411   480   523   463   557 0.76 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 2346at5820           -            854      0.04   10.5  14.3   1   3   2.5e-05     0.027   11.0   2.9   522   593    74   146    70   168 0.88 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 2346at5820           -            854      0.04   10.5  14.3   2   3     0.024        26    1.2   0.0   328   435   384   485   371   489 0.55 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 2346at5820           -            854      0.04   10.5  14.3   3   3    0.0035       3.8    3.9   1.6   342   404   538   599   523   614 0.80 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318200.1-p1   -            282 2346at5820           -            854       2.4    4.5  10.6   1   1    0.0032       3.4    4.1  10.6   108   221    77   204    72   279 0.64 | transcript=PVP01_0318200.1 | gene=PVP01_0318200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor CWC15, putative | transcript_product=pre-mRNA-splicing factor CWC15, putative | location=PvP01_03_v2:770357-771322(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1344600.1-p1   -            132 2346at5820           -            854       5.1    3.5   9.9   1   1    0.0051       5.6    3.4   9.9   122   219     7   106     3   127 0.61 | transcript=PVP01_1344600.1 | gene=PVP01_1344600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1953668-1954201(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030800.1-p1   -            451 2346at5820           -            854       6.6    3.1   7.8   1   1    0.0087       9.5    2.6   7.8    96   190   277   369   272   419 0.61 | transcript=PVP01_1030800.1 | gene=PVP01_1030800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_10_v2:1326606-1327961(-) | protein_length=451 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2346at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2346at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2346at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:16 2026
# [ok]
