#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0113100.1-p1   -            201 12100at5820          -            168  4.8e-109  360.4  16.5   1   2   2.5e-46   1.2e-43  147.7   2.1     1    73     1    73     1    82 0.96 | transcript=PVP01_0113100.1 | gene=PVP01_0113100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=PvP01_01_v2:591114-592334(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113100.1-p1   -            201 12100at5820          -            168  4.8e-109  360.4  16.5   2   2   3.9e-68   1.8e-65  218.6   6.9    68   168    90   190    84   190 0.98 | transcript=PVP01_0113100.1 | gene=PVP01_0113100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=PvP01_01_v2:591114-592334(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020100.1-p1   -            207 12100at5820          -            168   6.1e-35  119.3   6.1   1   2   1.1e-23   4.9e-21   74.0   0.2     5    73     7    75     3    82 0.94 | transcript=PVP01_1020100.1 | gene=PVP01_1020100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=PvP01_10_v2:874174-874797(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020100.1-p1   -            207 12100at5820          -            168   6.1e-35  119.3   6.1   2   2   1.2e-15   5.6e-13   47.8   1.6    69   148    93   176    86   195 0.82 | transcript=PVP01_1020100.1 | gene=PVP01_1020100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=PvP01_10_v2:874174-874797(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1021300.1-p1   -            200 12100at5820          -            168   8.1e-35  118.9  11.3   1   2   4.3e-23     2e-20   72.0   0.7     5    73     3    71     1    78 0.94 | transcript=PVP01_1021300.1 | gene=PVP01_1021300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=PvP01_10_v2:912112-913699(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1021300.1-p1   -            200 12100at5820          -            168   8.1e-35  118.9  11.3   2   2   7.4e-17   3.4e-14   51.7   4.0    68   156    88   176    82   188 0.88 | transcript=PVP01_1021300.1 | gene=PVP01_1021300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=PvP01_10_v2:912112-913699(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449300.1-p1   -            213 12100at5820          -            168   6.5e-30  102.9   0.8   1   2   4.5e-18   2.1e-15   55.7   0.0     7    73     4    70     1    76 0.94 | transcript=PVP01_1449300.1 | gene=PVP01_1449300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=PvP01_14_v2:2135325-2136787(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449300.1-p1   -            213 12100at5820          -            168   6.5e-30  102.9   0.8   2   2   4.3e-15     2e-12   46.0   0.2    69   152    88   170    83   186 0.90 | transcript=PVP01_1449300.1 | gene=PVP01_1449300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=PvP01_14_v2:2135325-2136787(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421400.1-p1   -            216 12100at5820          -            168     8e-28   96.1   5.3   1   2     1e-19   4.8e-17   61.0   0.2     4    71     5    73     1    80 0.90 | transcript=PVP01_1421400.1 | gene=PVP01_1421400 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=PvP01_14_v2:927784-929333(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421400.1-p1   -            216 12100at5820          -            168     8e-28   96.1   5.3   2   2   2.4e-12   1.1e-09   37.1   1.2    69   151    93   175    86   182 0.89 | transcript=PVP01_1421400.1 | gene=PVP01_1421400 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=PvP01_14_v2:927784-929333(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214100.1-p1   -            229 12100at5820          -            168   6.3e-27   93.2   0.8   1   2   2.3e-13   1.1e-10   40.4   0.0     5    71     4    71     1    78 0.91 | transcript=PVP01_1214100.1 | gene=PVP01_1214100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=PvP01_12_v2:601290-602627(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214100.1-p1   -            229 12100at5820          -            168   6.3e-27   93.2   0.8   2   2   1.6e-16   7.3e-14   50.7   0.9    69   153    91   179    85   191 0.88 | transcript=PVP01_1214100.1 | gene=PVP01_1214100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=PvP01_12_v2:601290-602627(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945600.1-p1   -            207 12100at5820          -            168   2.2e-24   84.9   1.3   1   2   1.8e-14   8.2e-12   44.0   0.0    11    73    12    74     5    82 0.93 | transcript=PVP01_0945600.1 | gene=PVP01_0945600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=PvP01_09_v2:1987820-1989251(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945600.1-p1   -            207 12100at5820          -            168   2.2e-24   84.9   1.3   2   2   3.8e-13   1.8e-10   39.7   0.7    68   150    91   173    79   192 0.86 | transcript=PVP01_0945600.1 | gene=PVP01_0945600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=PvP01_09_v2:1987820-1989251(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208000.1-p1   -            194 12100at5820          -            168   8.4e-23   79.8   1.0   1   2   3.5e-14   1.6e-11   43.0   0.0    16    70    13    67     8    73 0.94 | transcript=PVP01_0208000.1 | gene=PVP01_0208000 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=PvP01_02_v2:333879-335555(-) | protein_length=194 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
