#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1133500.1-p1   -           2354 674at5820            -           1482         0 1888.1 112.5   1  12  3.1e-140    2e-136  455.2  16.2     1   253     1   264     1   268 0.95 | transcript=PVP01_1133500.1 | gene=PVP01_1133500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1428202-1436468(+) | protein_length=2354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133500.1-p1   -           2354 674at5820            -           1482         0 1888.1 112.5   2  12   2.7e-89   1.7e-85  286.4  31.0   252   432   307   488   304   492 0.98 | transcript=PVP01_1133500.1 | gene=PVP01_1133500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1428202-1436468(+) | protein_length=2354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133500.1-p1   -           2354 674at5820            -           1482         0 1888.1 112.5   3  12   3.3e-27   2.2e-23   80.6   0.1   426   526   522   640   517   645 0.87 | transcript=PVP01_1133500.1 | gene=PVP01_1133500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1428202-1436468(+) | protein_length=2354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133500.1-p1   -           2354 674at5820            -           1482         0 1888.1 112.5   4  12     0.012        80   -0.8   0.0   527   545   685   703   681   705 0.89 | transcript=PVP01_1133500.1 | gene=PVP01_1133500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1428202-1436468(+) | protein_length=2354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133500.1-p1   -           2354 674at5820            -           1482         0 1888.1 112.5   5  12   5.2e-10   3.4e-06   23.6   0.1   546   589   736   782   731   797 0.86 | transcript=PVP01_1133500.1 | gene=PVP01_1133500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1428202-1436468(+) | protein_length=2354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133500.1-p1   -           2354 674at5820            -           1482         0 1888.1 112.5   6  12   4.4e-33   2.8e-29  100.1   0.0   608   741   857  1034   810  1044 0.75 | transcript=PVP01_1133500.1 | gene=PVP01_1133500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1428202-1436468(+) | protein_length=2354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133500.1-p1   -           2354 674at5820            -           1482         0 1888.1 112.5   7  12   9.5e-34   6.2e-30  102.3   0.0   747   894  1132  1338  1124  1341 0.76 | transcript=PVP01_1133500.1 | gene=PVP01_1133500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1428202-1436468(+) | protein_length=2354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133500.1-p1   -           2354 674at5820            -           1482         0 1888.1 112.5   8  12   1.5e-25   9.8e-22   75.1   0.0   895   968  1370  1448  1366  1455 0.88 | transcript=PVP01_1133500.1 | gene=PVP01_1133500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1428202-1436468(+) | protein_length=2354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133500.1-p1   -           2354 674at5820            -           1482         0 1888.1 112.5   9  12     5e-11   3.3e-07   27.0   0.0   967  1007  1563  1603  1556  1609 0.92 | transcript=PVP01_1133500.1 | gene=PVP01_1133500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1428202-1436468(+) | protein_length=2354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133500.1-p1   -           2354 674at5820            -           1482         0 1888.1 112.5  10  12   1.3e-41   8.5e-38  128.4   7.8   994  1165  1631  1842  1624  1848 0.79 | transcript=PVP01_1133500.1 | gene=PVP01_1133500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1428202-1436468(+) | protein_length=2354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133500.1-p1   -           2354 674at5820            -           1482         0 1888.1 112.5  11  12     2e-48   1.3e-44  150.9   0.6  1169  1268  1987  2086  1981  2091 0.96 | transcript=PVP01_1133500.1 | gene=PVP01_1133500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1428202-1436468(+) | protein_length=2354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
