#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1325400.1-p1   -            284 11010at5820          -            232  9.3e-139  459.2  26.0   1   1  1.4e-140  1.6e-138  458.4  26.0     1   232    18   279    18   279 0.96 | transcript=PVP01_1325400.1 | gene=PVP01_1325400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=PvP01_13_v2:1101101-1103359(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 11010at5820          -            232   4.8e-39  132.9   8.3   1   1     4e-41   4.8e-39  132.9   8.3    11   231   127   374   118   375 0.84 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 11010at5820          -            232   2.9e-36  123.8   0.9   1   1     1e-37   1.2e-35  121.8   0.9    11   231   166   414   157   415 0.82 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464000.1-p1   -            755 11010at5820          -            232     5e-36  123.0   0.5   1   2       1.3   1.5e+02    0.4   0.4    24    73    97   146    93   154 0.85 | transcript=PVP01_1464000.1 | gene=PVP01_1464000 | organism=Plasmodium_vivax_P01 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=PvP01_14_v2:2748927-2751327(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464000.1-p1   -            755 11010at5820          -            232     5e-36  123.0   0.5   2   2   4.2e-38     5e-36  123.0   0.5     4   225   428   671   425   676 0.85 | transcript=PVP01_1464000.1 | gene=PVP01_1464000 | organism=Plasmodium_vivax_P01 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=PvP01_14_v2:2748927-2751327(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923400.1-p1   -           1607 11010at5820          -            232   1.2e-35  121.7  13.7   1   1   8.1e-37   9.6e-35  118.8  13.7     6   231  1169  1419  1165  1420 0.81 | transcript=PVP01_0923400.1 | gene=PVP01_0923400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=PvP01_09_v2:1021123-1026936(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 11010at5820          -            232   2.8e-34  117.3   9.1   1   1     6e-36   7.2e-34  115.9   9.1     3   232    69   329    67   329 0.77 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 11010at5820          -            232   1.9e-33  114.6  13.8   1   1   4.7e-35   5.5e-33  113.0  13.8     7   228    59   320    47   327 0.78 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 11010at5820          -            232   8.1e-33  112.5   2.9   1   2   6.8e-35   8.1e-33  112.5   2.9     4   232  1524  1781  1522  1781 0.81 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 11010at5820          -            232   8.1e-33  112.5   2.9   2   2       6.7     8e+02   -2.0   0.1   131   170  1788  1828  1785  1843 0.81 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252700.1-p1   -            861 11010at5820          -            232   2.7e-28   97.7  12.0   1   1     1e-29   1.2e-27   95.6  12.0     3   231   479   733   477   734 0.78 | transcript=PVP01_1252700.1 | gene=PVP01_1252700 | organism=Plasmodium_vivax_P01 | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=PvP01_12_v2:2152503-2155088(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 11010at5820          -            232   1.3e-23   82.4   0.1   1   1     3e-25   3.5e-23   81.0   0.0     5   175   542   718   538   785 0.83 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831000.1-p1   -           1602 11010at5820          -            232   1.3e-22   79.1   4.0   1   1   1.9e-22   2.2e-20   71.8   4.0    11   226  1340  1589  1333  1598 0.68 | transcript=PVP01_0831000.1 | gene=PVP01_0831000 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK2, putative | transcript_product=aurora-related kinase ARK2, putative | location=PvP01_08_v2:1339289-1344608(+) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317900.1-p1   -            718 11010at5820          -            232   3.8e-22   77.6   6.2   1   2   2.4e-17   2.9e-15   55.1   2.1     5   164    20   175    17   191 0.83 | transcript=PVP01_1317900.1 | gene=PVP01_1317900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=PvP01_13_v2:833649-835805(+) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317900.1-p1   -            718 11010at5820          -            232   3.8e-22   77.6   6.2   2   2   6.1e-08   7.2e-06   24.3   0.1   181   227   251   301   246   308 0.87 | transcript=PVP01_1317900.1 | gene=PVP01_1317900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=PvP01_13_v2:833649-835805(+) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457000.1-p1   -            508 11010at5820          -            232   1.6e-21   75.6   5.3   1   2   1.3e-23   1.6e-21   75.6   5.3     2   231   108   363   107   364 0.78 | transcript=PVP01_1457000.1 | gene=PVP01_1457000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=PvP01_14_v2:2470814-2472340(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457000.1-p1   -            508 11010at5820          -            232   1.6e-21   75.6   5.3   2   2      0.84     1e+02    0.9   0.2   131   163   373   405   366   416 0.80 | transcript=PVP01_1457000.1 | gene=PVP01_1457000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=PvP01_14_v2:2470814-2472340(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
