#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1206000.1-p1   -           1669 1180at5820           -           1159         0 1841.3 149.4   1   7   1.1e-44   3.5e-41  139.5   4.8     1    82     1    82     1    89 0.98 | transcript=PVP01_1206000.1 | gene=PVP01_1206000 | organism=Plasmodium_vivax_P01 | gene_product=E1-E2 ATPase, putative | transcript_product=E1-E2 ATPase, putative | location=PvP01_12_v2:230378-236250(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206000.1-p1   -           1669 1180at5820           -           1159         0 1841.3 149.4   2   7   5.7e-97   1.9e-93  312.6  19.3    83   249   109   283   104   297 0.93 | transcript=PVP01_1206000.1 | gene=PVP01_1206000 | organism=Plasmodium_vivax_P01 | gene_product=E1-E2 ATPase, putative | transcript_product=E1-E2 ATPase, putative | location=PvP01_12_v2:230378-236250(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206000.1-p1   -           1669 1180at5820           -           1159         0 1841.3 149.4   3   7   8.7e-57   2.8e-53  179.5   9.6   251   369   399   520   387   527 0.92 | transcript=PVP01_1206000.1 | gene=PVP01_1206000 | organism=Plasmodium_vivax_P01 | gene_product=E1-E2 ATPase, putative | transcript_product=E1-E2 ATPase, putative | location=PvP01_12_v2:230378-236250(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206000.1-p1   -           1669 1180at5820           -           1159         0 1841.3 149.4   4   7  1.8e-103  5.8e-100  334.2  27.3   365   546   560   741   552   743 0.97 | transcript=PVP01_1206000.1 | gene=PVP01_1206000 | organism=Plasmodium_vivax_P01 | gene_product=E1-E2 ATPase, putative | transcript_product=E1-E2 ATPase, putative | location=PvP01_12_v2:230378-236250(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206000.1-p1   -           1669 1180at5820           -           1159         0 1841.3 149.4   5   7   2.1e-83   6.8e-80  267.7   3.8   545   758   777  1033   769  1045 0.87 | transcript=PVP01_1206000.1 | gene=PVP01_1206000 | organism=Plasmodium_vivax_P01 | gene_product=E1-E2 ATPase, putative | transcript_product=E1-E2 ATPase, putative | location=PvP01_12_v2:230378-236250(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206000.1-p1   -           1669 1180at5820           -           1159         0 1841.3 149.4   6   7  1.3e-157  4.2e-154  513.5  32.2   742  1050  1108  1430  1098  1444 0.94 | transcript=PVP01_1206000.1 | gene=PVP01_1206000 | organism=Plasmodium_vivax_P01 | gene_product=E1-E2 ATPase, putative | transcript_product=E1-E2 ATPase, putative | location=PvP01_12_v2:230378-236250(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206000.1-p1   -           1669 1180at5820           -           1159         0 1841.3 149.4   7   7     3e-42   9.7e-39  131.4   4.6  1066  1159  1548  1641  1530  1641 0.95 | transcript=PVP01_1206000.1 | gene=PVP01_1206000 | organism=Plasmodium_vivax_P01 | gene_product=E1-E2 ATPase, putative | transcript_product=E1-E2 ATPase, putative | location=PvP01_12_v2:230378-236250(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1180at5820           -           1159   0.00031   17.1  20.8   1   5      0.33   1.1e+03   -4.5   0.6   396   464    35    95    25   105 0.54 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1180at5820           -           1159   0.00031   17.1  20.8   2   5   4.1e-05      0.13    8.4   0.1   274   332   142   198   117   212 0.74 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1180at5820           -           1159   0.00031   17.1  20.8   3   5   6.6e-07    0.0022   14.3   0.4   375   523   213   358   197   377 0.84 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1180at5820           -           1159   0.00031   17.1  20.8   4   5   3.6e-05      0.12    8.6   0.0   811   885   898   972   829   976 0.87 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1180at5820           -           1159   0.00031   17.1  20.8   5   5     0.055   1.8e+02   -2.0   1.7  1055  1133  1093  1171  1082  1179 0.82 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1180at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1180at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1180at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:45 2026
# [ok]
