#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0409100.1-p1   -            272 11219at5820          -            205  5.1e-102  338.2  35.0   1   1    1e-101   5.6e-99  328.2  35.0     2   205    13   252    12   252 0.88 | transcript=PVP01_0409100.1 | gene=PVP01_0409100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC11, putative | transcript_product=palmitoyltransferase DHHC11, putative | location=PvP01_04_v2:369394-371760(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916500.1-p1   -            272 11219at5820          -            205   1.3e-22   78.9   9.5   1   2    0.0074         4    5.4   0.0    42    62    29    49     2    73 0.68 | transcript=PVP01_0916500.1 | gene=PVP01_0916500 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=PvP01_09_v2:740696-742699(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916500.1-p1   -            272 11219at5820          -            205   1.3e-22   78.9   9.5   2   2   5.6e-24     3e-21   74.4   6.8    61   203    75   227    65   229 0.78 | transcript=PVP01_0916500.1 | gene=PVP01_0916500 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=PvP01_09_v2:740696-742699(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139200.1-p1   -            284 11219at5820          -            205   5.7e-22   76.7  21.3   1   1     1e-23   5.5e-21   73.5  21.3    22   128    48   166    23   260 0.73 | transcript=PVP01_1139200.1 | gene=PVP01_1139200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC2, putative | transcript_product=palmitoyltransferase DHHC2, putative | location=PvP01_11_v2:1657663-1659306(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005400.1-p1   -            437 11219at5820          -            205   1.5e-21   75.4  13.4   1   2       2.4   1.3e+03   -2.8   1.7    15    25   159   169   135   214 0.52 | transcript=PVP01_1005400.1 | gene=PVP01_1005400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=PvP01_10_v2:247939-250570(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005400.1-p1   -            437 11219at5820          -            205   1.5e-21   75.4  13.4   2   2   2.8e-24   1.5e-21   75.4  13.4    59   205   246   405   235   405 0.72 | transcript=PVP01_1005400.1 | gene=PVP01_1005400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=PvP01_10_v2:247939-250570(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 11219at5820          -            205   6.8e-17   60.1  13.5   1   2         3   1.7e+03   -3.2   1.1     8    59   279   325   269   331 0.53 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 11219at5820          -            205   6.8e-17   60.1  13.5   2   2   1.3e-19   6.8e-17   60.1  13.5    60   178   431   552   422   567 0.72 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422200.1-p1   -            297 11219at5820          -            205     8e-17   59.9  11.6   1   2       6.4   3.5e+03   -4.2   6.2   109   147    42    81    22    96 0.48 | transcript=PVP01_1422200.1 | gene=PVP01_1422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=PvP01_14_v2:967105-969730(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422200.1-p1   -            297 11219at5820          -            205     8e-17   59.9  11.6   2   2   1.5e-19     8e-17   59.9  11.6    60   135   127   203   114   270 0.69 | transcript=PVP01_1422200.1 | gene=PVP01_1422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=PvP01_14_v2:967105-969730(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423400.1-p1   -           1013 11219at5820          -            205   1.9e-16   58.7  19.2   1   2       1.1   5.8e+02   -1.7   0.6    10    66    47   108    42   114 0.62 | transcript=PVP01_1423400.1 | gene=PVP01_1423400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=PvP01_14_v2:1031840-1035661(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423400.1-p1   -           1013 11219at5820          -            205   1.9e-16   58.7  19.2   2   2   3.4e-19   1.9e-16   58.7  19.2    57   187   135   281   125   294 0.71 | transcript=PVP01_1423400.1 | gene=PVP01_1423400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=PvP01_14_v2:1031840-1035661(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731200.1-p1   -            520 11219at5820          -            205   1.8e-15   55.5   5.8   1   2     0.046        25    2.8   0.0    24    75    25    75     6    84 0.72 | transcript=PVP01_0731200.1 | gene=PVP01_0731200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC6, putative | transcript_product=palmitoyltransferase DHHC6, putative | location=PvP01_07_v2:1312725-1315612(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731200.1-p1   -            520 11219at5820          -            205   1.8e-15   55.5   5.8   2   2   1.1e-16   5.9e-14   50.6   5.3    60   172   297   413   289   423 0.70 | transcript=PVP01_0731200.1 | gene=PVP01_0731200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC6, putative | transcript_product=palmitoyltransferase DHHC6, putative | location=PvP01_07_v2:1312725-1315612(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613000.1-p1   -            281 11219at5820          -            205   1.4e-14   52.6   6.1   1   2      0.06        33    2.4   0.4     5    59    34    87    24   104 0.77 | transcript=PVP01_0613000.1 | gene=PVP01_0613000 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=PvP01_06_v2:560817-563386(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613000.1-p1   -            281 11219at5820          -            205   1.4e-14   52.6   6.1   2   2   2.5e-17   1.4e-14   52.6   6.1    60   204   111   264   100   265 0.72 | transcript=PVP01_0613000.1 | gene=PVP01_0613000 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=PvP01_06_v2:560817-563386(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921600.1-p1   -            289 11219at5820          -            205   3.4e-14   51.3  15.7   1   2   6.2e-17   3.4e-14   51.3  15.7    61   128   109   176    95   184 0.87 | transcript=PVP01_0921600.1 | gene=PVP01_0921600 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC3, putative | transcript_product=palmitoyltransferase DHHC3, putative | location=PvP01_09_v2:936511-938168(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921600.1-p1   -            289 11219at5820          -            205   3.4e-14   51.3  15.7   2   2       3.4   1.9e+03   -3.3   5.7    97   142   191   240   178   246 0.63 | transcript=PVP01_0921600.1 | gene=PVP01_0921600 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC3, putative | transcript_product=palmitoyltransferase DHHC3, putative | location=PvP01_09_v2:936511-938168(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422200.1-p1   -            287 11219at5820          -            205   1.1e-12   46.4  11.4   1   2     2e-15   1.1e-12   46.4  11.4    59   129   100   173    77   184 0.80 | transcript=PVP01_0422200.1 | gene=PVP01_0422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=PvP01_04_v2:898201-900382(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422200.1-p1   -            287 11219at5820          -            205   1.1e-12   46.4  11.4   2   2       1.2   6.8e+02   -1.9   0.2    17    42   199   223   193   246 0.67 | transcript=PVP01_0422200.1 | gene=PVP01_0422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=PvP01_04_v2:898201-900382(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 11219at5820          -            205   1.7e-10   39.3   4.0   1   1   8.2e-13   4.5e-10   37.9   4.0    59   115   435   491   425   563 0.76 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11219at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11219at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11219at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:45 2026
# [ok]
