#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1307300.1-p1   -           3294 177at5820            -           2232         0 3473.2 285.9   1  10   5.3e-19   8.6e-16   54.7   0.3    27   127   276   405   252   422 0.78 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 177at5820            -           2232         0 3473.2 285.9   2  10   3.4e-25   5.5e-22   75.3   4.4   121   192   430   509   416   514 0.89 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 177at5820            -           2232         0 3473.2 285.9   3  10         0         0 1036.2  56.9   201   804   599  1237   576  1242 0.95 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 177at5820            -           2232         0 3473.2 285.9   4  10   4.3e-16     7e-13   45.1   0.2   803   847  1310  1357  1289  1363 0.84 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 177at5820            -           2232         0 3473.2 285.9   5  10  9.4e-128  1.5e-124  415.4  26.3   844  1103  1433  1710  1421  1728 0.91 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 177at5820            -           2232         0 3473.2 285.9   6  10  6.5e-127  1.1e-123  412.6  16.9  1119  1345  1835  2087  1816  2098 0.90 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 177at5820            -           2232         0 3473.2 285.9   7  10  1.8e-143  2.9e-140  467.6  36.7  1332  1589  2110  2376  2096  2394 0.94 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 177at5820            -           2232         0 3473.2 285.9   8  10  3.3e-171  5.3e-168  559.6  36.3  1586  1892  2445  2771  2439  2777 0.92 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 177at5820            -           2232         0 3473.2 285.9   9  10   4.2e-81   6.8e-78  260.7  19.6  1891  2106  2825  3084  2818  3090 0.80 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 177at5820            -           2232         0 3473.2 285.9  10  10   3.4e-58   5.5e-55  184.7  21.9  2090  2232  3094  3244  3085  3244 0.91 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270300.1-p1   -           5528 177at5820            -           2232  7.1e-156  519.3 318.0   1  12       3.1   5.1e+03   -7.5   4.8  2033  2133    98   195    96   228 0.82 | transcript=PVP01_1270300.1 | gene=PVP01_1270300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=PvP01_12_v2:2950237-2966968(-) | protein_length=5528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
