#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1241300.1-p1   -           1449 1473at5820           -           1133         0 2017.9 143.1   1   2         0         0 1453.8 105.1     1   826     1   944     1   963 0.93 | transcript=PVP01_1241300.1 | gene=PVP01_1241300 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=PvP01_12_v2:1683128-1687477(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241300.1-p1   -           1449 1473at5820           -           1133         0 2017.9 143.1   2   2  3.6e-173  7.9e-170  565.6  30.1   795  1133  1096  1449  1070  1449 0.86 | transcript=PVP01_1241300.1 | gene=PVP01_1241300 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=PvP01_12_v2:1683128-1687477(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 1473at5820           -           1133   3.2e-10   37.0  45.5   1   5   2.8e-12     6e-09   32.8  33.9   108   405   566   870   529   948 0.76 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 1473at5820           -           1133   3.2e-10   37.0  45.5   2   5   0.00048         1    5.5   5.4   500   560  1048  1109  1002  1132 0.78 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 1473at5820           -           1133   3.2e-10   37.0  45.5   3   5     0.051   1.1e+02   -1.2   0.6   566   613  1266  1313  1240  1414 0.76 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 1473at5820           -           1133   3.2e-10   37.0  45.5   4   5   1.8e-08   3.9e-05   20.2   3.7   892   979  1645  1737  1637  1782 0.79 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 1473at5820           -           1133   3.2e-10   37.0  45.5   5   5     0.063   1.4e+02   -1.5   2.8   546   628  1853  1936  1824  2009 0.73 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 1473at5820           -           1133   9.6e-06   22.2   4.2   1   4   4.7e-07     0.001   15.5  36.7   277   569   558   852   348   864 0.75 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 1473at5820           -           1133   9.6e-06   22.2   4.2   2   4      0.57   1.2e+03   -4.7   4.4   561   664   978  1084   962  1106 0.57 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 1473at5820           -           1133   9.6e-06   22.2   4.2   3   4   4.4e-09   9.6e-06   22.2   4.2   873   957  1190  1275  1186  1306 0.86 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 1473at5820           -           1133   9.6e-06   22.2   4.2   4   4      0.28   6.2e+02   -3.7  14.3   997  1133  1499  1637  1466  1637 0.71 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1473at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1473at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1473at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:17 2026
# [ok]
