#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1457800.1-p1   -            906 3459at5820           -            642         0 1305.1  27.6   1   4   6.5e-08   1.8e-05   21.7   2.6     1    43    13    56    13    59 0.92 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 3459at5820           -            642         0 1305.1  27.6   2   4         0         0 1240.1   2.9    28   566    63   608    56   617 0.98 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 3459at5820           -            642         0 1305.1  27.6   3   4      0.32        91   -0.5   1.9   558   585   749   774   713   794 0.71 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 3459at5820           -            642         0 1305.1  27.6   4   4   4.5e-19   1.3e-16   58.5   0.3   583   642   828   904   806   904 0.83 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920200.1-p1   -            950 3459at5820           -            642  8.6e-115  382.9   0.1   1   1  4.4e-117  1.2e-114  382.3   0.1   108   559   390   845   366   862 0.90 | transcript=PVP01_0920200.1 | gene=PVP01_0920200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_09_v2:877371-880223(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 3459at5820           -            642  7.6e-112  373.1   5.9   1   2      0.98   2.8e+02   -2.0   1.6   551   586    74   109    26   120 0.73 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 3459at5820           -            642  7.6e-112  373.1   5.9   2   2  2.7e-114  7.6e-112  373.1   5.9   115   571   246   692   225   699 0.92 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 3459at5820           -            642   1.6e-98  329.1   2.0   1   3       0.5   1.4e+02   -1.1   2.0   553   598     6    51     2    87 0.68 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 3459at5820           -            642   1.6e-98  329.1   2.0   2   3   1.5e-46   4.3e-44  149.3   0.0   113   354   201   437   190   454 0.91 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 3459at5820           -            642   1.6e-98  329.1   2.0   3   3   6.7e-55   1.9e-52  176.9   0.0   115   366   476   721   464   734 0.89 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 3459at5820           -            642   6.1e-95  317.3   0.2   1   2   2.6e-46   7.3e-44  148.5   0.1   109   369   466   722   449   730 0.90 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
