#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7   1  16  2.9e-107  6.3e-104  347.4  31.9     1   184    80   271    80   277 0.96 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7   2  16   1.4e-05     0.031   11.1  40.3   166   243   300   408   293   412 0.70 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7   3  16   1.7e-29   3.7e-26   90.2  16.9   214   325   401   515   400   528 0.74 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7   4  16      0.14   3.1e+02   -2.1  31.1   288   353   513   599   499   605 0.72 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7   5  16         3   6.5e+03  -14.0  18.4   163   242   598   674   592   693 0.59 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7   6  16     5e-15   1.1e-11   42.4   2.1   324   383   716   775   704   780 0.88 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7   7  16     0.002       4.2    4.0   2.0   385   413   846   874   838   886 0.84 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7   8  16   4.9e-28   1.1e-24   85.4  16.4   398   471   911   990   902  1007 0.74 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7   9  16     4e-24   8.8e-21   72.4  16.3   461   525  1015  1083   999  1087 0.86 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7  10  16   2.9e-31   6.3e-28   96.1  22.9   523   609  1103  1193  1095  1196 0.89 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7  11  16         3   6.5e+03   -7.1  62.4   562   650  1181  1263  1178  1272 0.59 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7  12  16   2.9e-13   6.4e-10   36.5  51.0   582   673  1257  1365  1255  1371 0.74 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
