#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1208400.1-p1   -           5549 48at5820             -           4172         0 7691.8 186.7   1  10         0         0 1066.1  28.4     1   549     1   630     1   651 0.88 | transcript=PVP01_1208400.1 | gene=PVP01_1208400 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:333150-349801(-) | protein_length=5549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208400.1-p1   -           5549 48at5820             -           4172         0 7691.8 186.7   2  10  1.1e-177  3.6e-174  579.4   0.5   553   852   690  1037   676  1044 0.97 | transcript=PVP01_1208400.1 | gene=PVP01_1208400 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:333150-349801(-) | protein_length=5549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208400.1-p1   -           5549 48at5820             -           4172         0 7691.8 186.7   3  10  4.9e-118  1.6e-114  381.4   9.3   846  1057  1083  1326  1077  1333 0.95 | transcript=PVP01_1208400.1 | gene=PVP01_1208400 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:333150-349801(-) | protein_length=5549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208400.1-p1   -           5549 48at5820             -           4172         0 7691.8 186.7   4  10     0.029        94   -2.8   0.0  1052  1076  1394  1418  1389  1430 0.80 | transcript=PVP01_1208400.1 | gene=PVP01_1208400 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:333150-349801(-) | protein_length=5549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208400.1-p1   -           5549 48at5820             -           4172         0 7691.8 186.7   5  10         0         0 1294.0  24.0  1076  1779  1495  2328  1486  2353 0.93 | transcript=PVP01_1208400.1 | gene=PVP01_1208400 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:333150-349801(-) | protein_length=5549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208400.1-p1   -           5549 48at5820             -           4172         0 7691.8 186.7   6  10         0         0 1087.0  36.5  1787  2447  2408  3310  2392  3320 0.91 | transcript=PVP01_1208400.1 | gene=PVP01_1208400 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:333150-349801(-) | protein_length=5549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208400.1-p1   -           5549 48at5820             -           4172         0 7691.8 186.7   7  10   2.5e-54   8.2e-51  170.0   0.0  2453  2558  3390  3495  3373  3553 0.85 | transcript=PVP01_1208400.1 | gene=PVP01_1208400 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:333150-349801(-) | protein_length=5549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208400.1-p1   -           5549 48at5820             -           4172         0 7691.8 186.7   8  10         0         0 1419.1  14.8  2563  3330  3596  4478  3570  4482 0.92 | transcript=PVP01_1208400.1 | gene=PVP01_1208400 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:333150-349801(-) | protein_length=5549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208400.1-p1   -           5549 48at5820             -           4172         0 7691.8 186.7   9  10  9.1e-190    3e-186  619.5   2.8  3330  3683  4530  4980  4527  4991 0.94 | transcript=PVP01_1208400.1 | gene=PVP01_1208400 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:333150-349801(-) | protein_length=5549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208400.1-p1   -           5549 48at5820             -           4172         0 7691.8 186.7  10  10         0         0 1113.1  13.1  3690  4171  5055  5545  5040  5546 0.98 | transcript=PVP01_1208400.1 | gene=PVP01_1208400 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:333150-349801(-) | protein_length=5549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0010960.1-p1   -            327 48at5820             -           4172  5.2e-148  492.6  15.1   1   2  5.1e-141  1.6e-137  457.7   8.5  3113  3331     1   232     1   236 0.97 | transcript=PVP01_0010960.1 | gene=PVP01_0010960 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Transfer.PvP01_00_217.final:44-1024(-) | protein_length=327 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
