#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0602200.1-p1   -           1096 1259at5820           -            946         0 1946.6  47.0   1   3   3.4e-14   7.3e-11   39.1   0.2     1    57    10    86    10   107 0.77 | transcript=PVP01_0602200.1 | gene=PVP01_0602200 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase delta catalytic subunit, putative | transcript_product=DNA polymerase delta catalytic subunit, putative | location=PvP01_06_v2:92192-95482(+) | protein_length=1096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0602200.1-p1   -           1096 1259at5820           -            946         0 1946.6  47.0   2   3   2.6e-12   5.7e-09   32.9   1.0    49    95   113   164   104   177 0.85 | transcript=PVP01_0602200.1 | gene=PVP01_0602200 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase delta catalytic subunit, putative | transcript_product=DNA polymerase delta catalytic subunit, putative | location=PvP01_06_v2:92192-95482(+) | protein_length=1096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0602200.1-p1   -           1096 1259at5820           -            946         0 1946.6  47.0   3   3         0         0 1882.8  34.5    79   946   177  1090   168  1090 0.97 | transcript=PVP01_0602200.1 | gene=PVP01_0602200 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase delta catalytic subunit, putative | transcript_product=DNA polymerase delta catalytic subunit, putative | location=PvP01_06_v2:92192-95482(+) | protein_length=1096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0311300.1-p1   -           1740 1259at5820           -            946   4.9e-45  152.2  19.0   1   4   6.1e-16   1.3e-12   44.9   2.3   234   344   692   807   654   820 0.86 | transcript=PVP01_0311300.1 | gene=PVP01_0311300 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=PvP01_03_v2:504014-509809(-) | protein_length=1740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0311300.1-p1   -           1740 1259at5820           -            946   4.9e-45  152.2  19.0   2   4   7.1e-13   1.5e-09   34.8   0.0   440   487   977  1024   944  1040 0.83 | transcript=PVP01_0311300.1 | gene=PVP01_0311300 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=PvP01_03_v2:504014-509809(-) | protein_length=1740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0311300.1-p1   -           1740 1259at5820           -            946   4.9e-45  152.2  19.0   3   4   2.1e-26   4.7e-23   79.5   4.1   512   714  1080  1280  1071  1285 0.87 | transcript=PVP01_0311300.1 | gene=PVP01_0311300 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=PvP01_03_v2:504014-509809(-) | protein_length=1740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0311300.1-p1   -           1740 1259at5820           -            946   4.9e-45  152.2  19.0   4   4     0.059   1.3e+02   -1.4   0.0   713   766  1302  1360  1300  1432 0.82 | transcript=PVP01_0311300.1 | gene=PVP01_0311300 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=PvP01_03_v2:504014-509809(-) | protein_length=1740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621400.1-p1   -           1900 1259at5820           -            946   1.2e-36  124.4  30.7   1   4   0.00012      0.25    7.6   0.5    57    80    52    75    30    98 0.83 | transcript=PVP01_0621400.1 | gene=PVP01_0621400 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=PvP01_06_v2:869522-875730(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621400.1-p1   -           1900 1259at5820           -            946   1.2e-36  124.4  30.7   2   4   1.7e-06    0.0036   13.7   4.1    82   175   108   208    96   225 0.75 | transcript=PVP01_0621400.1 | gene=PVP01_0621400 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=PvP01_06_v2:869522-875730(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621400.1-p1   -           1900 1259at5820           -            946   1.2e-36  124.4  30.7   3   4   9.2e-11     2e-07   27.8   1.3   377   487   869   986   863   990 0.85 | transcript=PVP01_0621400.1 | gene=PVP01_0621400 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=PvP01_06_v2:869522-875730(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621400.1-p1   -           1900 1259at5820           -            946   1.2e-36  124.4  30.7   4   4   9.5e-30   2.1e-26   90.6   3.8   501   704  1151  1349  1136  1360 0.88 | transcript=PVP01_0621400.1 | gene=PVP01_0621400 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=PvP01_06_v2:869522-875730(+) | protein_length=1900 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
