#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1005700.1-p1   -            934 2524at5820           -            799         0 1618.3  77.2   1   2         0         0 1255.0  47.9     1   589     1   608     1   622 0.97 | transcript=PVP01_1005700.1 | gene=PVP01_1005700 | organism=Plasmodium_vivax_P01 | gene_product=AP-1/2 complex subunit beta, putative | transcript_product=AP-1/2 complex subunit beta, putative | location=PvP01_10_v2:261082-264935(+) | protein_length=934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005700.1-p1   -            934 2524at5820           -            799         0 1618.3  77.2   2   2  1.6e-113  2.1e-110  368.7  19.7   579   799   663   931   651   931 0.91 | transcript=PVP01_1005700.1 | gene=PVP01_1005700 | organism=Plasmodium_vivax_P01 | gene_product=AP-1/2 complex subunit beta, putative | transcript_product=AP-1/2 complex subunit beta, putative | location=PvP01_10_v2:261082-264935(+) | protein_length=934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215900.1-p1   -            902 2524at5820           -            799   1.5e-80  270.0  40.8   1   2   1.2e-83   1.5e-80  270.0  40.8    13   564     6   577     2   586 0.91 | transcript=PVP01_0215900.1 | gene=PVP01_0215900 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=PvP01_02_v2:673911-677192(-) | protein_length=902 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215900.1-p1   -            902 2524at5820           -            799   1.5e-80  270.0  40.8   2   2      0.72   9.4e+02   -3.8   0.6   641   745   737   843   733   873 0.50 | transcript=PVP01_0215900.1 | gene=PVP01_0215900 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=PvP01_02_v2:673911-677192(-) | protein_length=902 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135600.1-p1   -           1004 2524at5820           -            799     7e-26   89.2  15.0   1   2   3.9e-26     5e-23   79.8   1.3     4   189    32   214    29   222 0.92 | transcript=PVP01_1135600.1 | gene=PVP01_1135600 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=PvP01_11_v2:1530616-1533630(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135600.1-p1   -           1004 2524at5820           -            799     7e-26   89.2  15.0   2   2   1.9e-06    0.0025   14.6   6.4   227   450   368   592   357   628 0.86 | transcript=PVP01_1135600.1 | gene=PVP01_1135600 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=PvP01_11_v2:1530616-1533630(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319600.1-p1   -           1317 2524at5820           -            799   1.5e-09   35.2   6.6   1   2   1.2e-12   1.5e-09   35.2   6.6    16   200    25   230    13   237 0.80 | transcript=PVP01_1319600.1 | gene=PVP01_1319600 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_13_v2:892870-897144(-) | protein_length=1317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319600.1-p1   -           1317 2524at5820           -            799   1.5e-09   35.2   6.6   2   2     0.011        14    2.2   2.9   276   353   401   481   350   500 0.79 | transcript=PVP01_1319600.1 | gene=PVP01_1319600 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_13_v2:892870-897144(-) | protein_length=1317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 2524at5820           -            799    0.0017   15.2  36.6   1   3   1.1e-06    0.0014   15.4  19.0    25   350    53   394    38   415 0.71 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 2524at5820           -            799    0.0017   15.2  36.6   2   3   2.4e-05     0.031   11.0   3.3   411   523   614   729   600   795 0.74 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 2524at5820           -            799    0.0017   15.2  36.6   3   3      0.63   8.2e+02   -3.6   0.4   502   553  1215  1267  1197  1293 0.71 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
