#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0108900.1-p1   -            252 11617at5820          -            175   1.1e-92  307.4  28.2   1   2   8.7e-33   1.9e-29  101.5   3.8     1    66    17    86    17    92 0.94 | transcript=PVP01_0108900.1 | gene=PVP01_0108900 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1d, putative | transcript_product=inner membrane complex protein 1d, putative | location=PvP01_01_v2:429049-429969(-) | protein_length=252 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0108900.1-p1   -            252 11617at5820          -            175   1.1e-92  307.4  28.2   2   2   1.1e-66   2.4e-63  211.9  16.5    64   175   139   250   124   250 0.95 | transcript=PVP01_0108900.1 | gene=PVP01_0108900 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1d, putative | transcript_product=inner membrane complex protein 1d, putative | location=PvP01_01_v2:429049-429969(-) | protein_length=252 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836200.1-p1   -            869 11617at5820          -            175   1.3e-32  111.8  15.4   1   4         3   6.5e+03   -7.5  14.6    95   151    89   146    52   176 0.56 | transcript=PVP01_0836200.1 | gene=PVP01_0836200 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=PvP01_08_v2:1529673-1532983(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836200.1-p1   -            869 11617at5820          -            175   1.3e-32  111.8  15.4   2   4      0.41     9e+02   -1.6   1.0    24    52   169   201   152   204 0.55 | transcript=PVP01_0836200.1 | gene=PVP01_0836200 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=PvP01_08_v2:1529673-1532983(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836200.1-p1   -            869 11617at5820          -            175   1.3e-32  111.8  15.4   3   4     6e-36   1.3e-32  111.8  15.4    63   174   360   471   341   472 0.95 | transcript=PVP01_0836200.1 | gene=PVP01_0836200 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=PvP01_08_v2:1529673-1532983(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836200.1-p1   -            869 11617at5820          -            175   1.3e-32  111.8  15.4   4   4       1.4     3e+03   -3.4   0.2     5    39   776   806   773   818 0.71 | transcript=PVP01_0836200.1 | gene=PVP01_0836200 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=PvP01_08_v2:1529673-1532983(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942600.1-p1   -            516 11617at5820          -            175   5.3e-23   80.5  22.4   1   4      0.62   1.3e+03   -2.2   7.0    92   161    82   146    64   156 0.76 | transcript=PVP01_0942600.1 | gene=PVP01_0942600 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=PvP01_09_v2:1882885-1884435(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942600.1-p1   -            516 11617at5820          -            175   5.3e-23   80.5  22.4   2   4      0.02        44    2.6   4.6    22    56   132   175   122   178 0.60 | transcript=PVP01_0942600.1 | gene=PVP01_0942600 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=PvP01_09_v2:1882885-1884435(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942600.1-p1   -            516 11617at5820          -            175   5.3e-23   80.5  22.4   3   4   2.4e-26   5.3e-23   80.5  22.4    65   169   254   358   248   364 0.94 | transcript=PVP01_0942600.1 | gene=PVP01_0942600 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=PvP01_09_v2:1882885-1884435(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942600.1-p1   -            516 11617at5820          -            175   5.3e-23   80.5  22.4   4   4         1   2.2e+03   -2.9   0.0    37    62   448   473   444   499 0.84 | transcript=PVP01_0942600.1 | gene=PVP01_0942600 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=PvP01_09_v2:1882885-1884435(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
