#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0710500.1-p1   -           1463 2732at5820           -           1490         0 2011.4   6.2   1   1         0         0 2007.8   6.2     1  1489     1  1462     1  1463 0.93 | transcript=PVP01_0710500.1 | gene=PVP01_0710500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:525203-529594(-) | protein_length=1463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 2732at5820           -           1490   3.2e-30  103.1  27.4   1   4     5e-06    0.0046   13.1   0.4    79   115    61    97    56   115 0.88 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 2732at5820           -           1490   3.2e-30  103.1  27.4   2   4     2e-13   1.8e-10   37.6   0.1   285   500   501   726   478   814 0.71 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 2732at5820           -           1490   3.2e-30  103.1  27.4   3   4   4.7e-06    0.0044   13.1  11.3   852   969   917  1037   867  1088 0.81 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 2732at5820           -           1490   3.2e-30  103.1  27.4   4   4   2.5e-15   2.3e-12   43.9   0.4  1145  1378  1205  1423  1148  1447 0.75 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 2732at5820           -           1490     0.027   10.5  22.0   1   1     3e-05     0.028   10.5  22.0   513  1120    72   170    19   236 0.43 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1268000.1-p1   -            324 2732at5820           -           1490      0.42    6.6  12.0   1   1   0.00056      0.52    6.3  12.0   534   653    31   156    16   203 0.55 | transcript=PVP01_1268000.1 | gene=PVP01_1268000 | organism=Plasmodium_vivax_P01 | gene_product=copper transporter, putative | transcript_product=copper transporter, putative | location=PvP01_12_v2:2845472-2846611(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 2732at5820           -           1490      0.63    6.0  11.3   1   1   0.00073      0.68    5.9  11.3   548   625    52   132     8   134 0.70 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 2732at5820           -           1490       1.3    4.9  16.9   1   1    0.0019       1.8    4.5  16.9   482   639    68   239    64   269 0.50 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1304100.1-p1   -            827 2732at5820           -           1490       3.5    3.5   9.7   1   2    0.0092       8.5    2.2   7.2   606   671    12    76     2   133 0.65 | transcript=PVP01_1304100.1 | gene=PVP01_1304100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:166536-169378(+) | protein_length=827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1304100.1-p1   -            827 2732at5820           -           1490       3.5    3.5   9.7   2   2     0.017        16    1.4   0.0  1060  1152   449   534   421   553 0.49 | transcript=PVP01_1304100.1 | gene=PVP01_1304100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:166536-169378(+) | protein_length=827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
