#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1227900.1-p1   -           1875 1462at5820           -           1037         0 1193.4  87.4   1  12   2.5e-23   1.6e-19   68.1   0.4     1    72     1    82     1   137 0.68 | transcript=PVP01_1227900.1 | gene=PVP01_1227900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1112952-1118579(+) | protein_length=1875 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227900.1-p1   -           1875 1462at5820           -           1037         0 1193.4  87.4   2  12   6.6e-10   4.3e-06   23.7   0.5    77   128   152   209   134   217 0.81 | transcript=PVP01_1227900.1 | gene=PVP01_1227900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1112952-1118579(+) | protein_length=1875 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227900.1-p1   -           1875 1462at5820           -           1037         0 1193.4  87.4   3  12   5.2e-32   3.4e-28   96.9   9.1   151   256   325   446   309   456 0.78 | transcript=PVP01_1227900.1 | gene=PVP01_1227900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1112952-1118579(+) | protein_length=1875 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227900.1-p1   -           1875 1462at5820           -           1037         0 1193.4  87.4   4  12   6.7e-10   4.4e-06   23.6   0.0   260   289   480   509   471   519 0.91 | transcript=PVP01_1227900.1 | gene=PVP01_1227900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1112952-1118579(+) | protein_length=1875 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227900.1-p1   -           1875 1462at5820           -           1037         0 1193.4  87.4   5  12    0.0097        63   -0.1   0.0   309   335   696   722   680   727 0.85 | transcript=PVP01_1227900.1 | gene=PVP01_1227900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1112952-1118579(+) | protein_length=1875 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227900.1-p1   -           1875 1462at5820           -           1037         0 1193.4  87.4   6  12   1.4e-49   9.2e-46  155.0   0.0   330   437   767   877   758   879 0.93 | transcript=PVP01_1227900.1 | gene=PVP01_1227900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1112952-1118579(+) | protein_length=1875 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227900.1-p1   -           1875 1462at5820           -           1037         0 1193.4  87.4   7  12  1.5e-136  9.7e-133  443.0  27.5   454   699  1004  1250   963  1258 0.92 | transcript=PVP01_1227900.1 | gene=PVP01_1227900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1112952-1118579(+) | protein_length=1875 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227900.1-p1   -           1875 1462at5820           -           1037         0 1193.4  87.4   8  12   2.7e-21   1.8e-17   61.4   0.0   698   749  1285  1337  1280  1344 0.91 | transcript=PVP01_1227900.1 | gene=PVP01_1227900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1112952-1118579(+) | protein_length=1875 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227900.1-p1   -           1875 1462at5820           -           1037         0 1193.4  87.4   9  12   7.6e-83   4.9e-79  265.2   1.0   746   945  1361  1606  1357  1612 0.85 | transcript=PVP01_1227900.1 | gene=PVP01_1227900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1112952-1118579(+) | protein_length=1875 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227900.1-p1   -           1875 1462at5820           -           1037         0 1193.4  87.4  10  12   5.7e-11   3.7e-07   27.2   0.0   944   978  1727  1761  1720  1769 0.89 | transcript=PVP01_1227900.1 | gene=PVP01_1227900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1112952-1118579(+) | protein_length=1875 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227900.1-p1   -           1875 1462at5820           -           1037         0 1193.4  87.4  11  12   5.9e-09   3.9e-05   20.5   0.0   974  1006  1781  1813  1776  1817 0.91 | transcript=PVP01_1227900.1 | gene=PVP01_1227900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1112952-1118579(+) | protein_length=1875 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227900.1-p1   -           1875 1462at5820           -           1037         0 1193.4  87.4  12  12   5.5e-13   3.6e-09   33.9   3.2  1003  1037  1841  1875  1837  1875 0.93 | transcript=PVP01_1227900.1 | gene=PVP01_1227900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1112952-1118579(+) | protein_length=1875 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1462at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1462at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1462at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:59 2026
# [ok]
