#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1462900.1-p1   -            309 10037at5820          -            262    5e-130  431.1  30.2   1   2   4.6e-14   3.8e-11   41.5   0.1     1    34     1    34     1    37 0.95 | transcript=PVP01_1462900.1 | gene=PVP01_1462900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:2710340-2711269(+) | protein_length=309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462900.1-p1   -            309 10037at5820          -            262    5e-130  431.1  30.2   2   2  9.3e-121  7.6e-118  391.2  26.5    32   255    53   288    42   305 0.94 | transcript=PVP01_1462900.1 | gene=PVP01_1462900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:2710340-2711269(+) | protein_length=309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810600.1-p1   -            188 10037at5820          -            262     5e-09   34.5   4.0   1   1   7.1e-12   5.8e-09   34.3   4.0    30   135    59   162    18   172 0.76 | transcript=PVP01_0810600.1 | gene=PVP01_0810600 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_08_v2:467502-469232(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0943400.1-p1   -            584 10037at5820          -            262   1.4e-05   23.2   6.2   1   2   1.7e-08   1.4e-05   23.2   6.2    20    99    39   115    25   179 0.77 | transcript=PVP01_0943400.1 | gene=PVP01_0943400 | organism=Plasmodium_vivax_P01 | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=PvP01_09_v2:1917130-1918884(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0943400.1-p1   -            584 10037at5820          -            262   1.4e-05   23.2   6.2   2   2      0.48   3.9e+02   -1.2   0.0   210   240   217   247   203   262 0.52 | transcript=PVP01_0943400.1 | gene=PVP01_0943400 | organism=Plasmodium_vivax_P01 | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=PvP01_09_v2:1917130-1918884(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 10037at5820          -            262   2.1e-05   22.6  10.3   1   5         8   6.5e+03  -10.9  13.8    61   172   133   246   123   261 0.56 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 10037at5820          -            262   2.1e-05   22.6  10.3   2   5       0.2   1.6e+02    0.1   0.5    87   128  1125  1170  1112  1204 0.74 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 10037at5820          -            262   2.1e-05   22.6  10.3   3   5    0.0035       2.9    5.8   5.8    50   181  1441  1578  1431  1595 0.78 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 10037at5820          -            262   2.1e-05   22.6  10.3   4   5   2.6e-08   2.1e-05   22.6  10.3    34   127  1596  1690  1580  1696 0.79 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 10037at5820          -            262   2.1e-05   22.6  10.3   5   5   3.3e-06    0.0027   15.7   1.9    78   166  1674  1768  1672  1782 0.68 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 10037at5820          -            262   7.3e-05   20.9   0.1   1   1   1.6e-07   0.00013   20.0   0.1    48   141   420   515   386   604 0.77 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414800.1-p1   -            400 10037at5820          -            262   0.00075   17.5  20.0   1   2   0.00057      0.46    8.4   2.9    71   140    28   100     5   105 0.67 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414800.1-p1   -            400 10037at5820          -            262   0.00075   17.5  20.0   2   2   6.7e-06    0.0054   14.7   9.5    45   171   103   231    98   257 0.81 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 10037at5820          -            262    0.0034   15.4   5.3   1   4     0.033        27    2.6   0.8    83   132    11    63     3    69 0.61 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 10037at5820          -            262    0.0034   15.4   5.3   2   4   6.9e-05     0.056   11.4   0.0    60   134    72   148    67   162 0.86 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 10037at5820          -            262    0.0034   15.4   5.3   3   4     0.044        36    2.2   0.0    40    69   153   182   134   214 0.58 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 10037at5820          -            262    0.0034   15.4   5.3   4   4       0.7   5.7e+02   -1.7   0.2    58    73   384   399   328   446 0.60 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 10037at5820          -            262     0.013   13.4   0.2   1   3   1.6e-05     0.013   13.4   0.2    91   179  1010  1097   997  1099 0.78 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 10037at5820          -            262     0.013   13.4   0.2   2   3    0.0016       1.3    6.9   2.2    42   127  1136  1222  1108  1235 0.73 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 10037at5820          -            262     0.013   13.4   0.2   3   3       2.8   2.3e+03   -3.7   1.6    64   106  1343  1391  1294  1408 0.48 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10037at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10037at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10037at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:27 2026
# [ok]
