#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5   1  20   1.6e-99     1e-95  319.8  37.9    13   268    49   383    43   389 0.85 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5   2  20  5.6e-187  3.6e-183  610.0  33.6   266   610   422   793   420   795 0.94 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5   3  20   1.3e-33   8.5e-30  101.2   0.7   605   678   861   940   855   947 0.89 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5   4  20   9.3e-51   6.1e-47  158.0   9.1   680   784   987  1094   980  1100 0.94 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5   5  20   2.7e-59   1.8e-55  186.4   9.1   780   945  1145  1347  1126  1356 0.85 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5   6  20   1.8e-19   1.2e-15   54.2   0.3   945  1004  1435  1495  1422  1522 0.83 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5   7  20   2.4e-25   1.6e-21   73.7   1.2   990  1049  1540  1599  1533  1605 0.95 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5   8  20  2.1e-137  1.3e-133  445.5  31.4  1044  1277  1634  1885  1629  1906 0.92 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5   9  20   8.2e-14   5.4e-10   35.5   6.8  1278  1348  2042  2117  1998  2141 0.76 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5  10  20   4.3e-47   2.8e-43  145.9  12.9  1328  1459  2241  2388  2207  2392 0.83 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5  11  20   9.1e-22   5.9e-18   61.9   7.1  1424  1516  2433  2530  2419  2544 0.80 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5  12  20  3.8e-101   2.5e-97  325.2  38.2  1506  1739  2632  2912  2613  2928 0.81 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5  13  20  2.5e-162  1.6e-158  528.2  18.6  1743  2044  3178  3500  3161  3505 0.94 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5  14  20   2.3e-50   1.5e-46  156.7  10.2  2045  2139  3533  3627  3529  3631 0.96 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5  15  20  4.3e-109  2.8e-105  351.6  37.3  2151  2368  3816  4080  3792  4093 0.85 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
