#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0823100.1-p1   -            253 10762at5820          -            224  9.3e-140  462.2  10.9   1   1  1.8e-142  1.1e-139  462.0  10.9     1   224     1   230     1   230 0.98 | transcript=PVP01_0823100.1 | gene=PVP01_0823100 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-3, putative | transcript_product=proteasome subunit alpha type-3, putative | location=PvP01_08_v2:1038808-1039667(+) | protein_length=253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140400.1-p1   -            235 10762at5820          -            224     2e-27   94.8   0.3   1   1   3.9e-30   2.3e-27   94.6   0.3     7   208     5   210     1   220 0.89 | transcript=PVP01_1140400.1 | gene=PVP01_1140400 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-2, putative | transcript_product=proteasome subunit alpha type-2, putative | location=PvP01_11_v2:1723452-1724311(+) | protein_length=235 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117900.1-p1   -            246 10762at5820          -            224   1.1e-25   89.1   1.3   1   1   2.3e-28   1.4e-25   88.8   1.3     7   204     4   207     1   219 0.84 | transcript=PVP01_1117900.1 | gene=PVP01_1117900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=PvP01_11_v2:758711-759594(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213100.1-p1   -            256 10762at5820          -            224   1.2e-19   69.4   0.1   1   1   2.5e-22   1.5e-19   69.1   0.1     6   189     6   199     1   232 0.78 | transcript=PVP01_0213100.1 | gene=PVP01_0213100 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=PvP01_02_v2:548876-550047(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112900.1-p1   -            260 10762at5820          -            224   1.2e-19   69.4   3.4   1   1   2.6e-22   1.5e-19   69.0   3.4     7   193     8   208     2   232 0.77 | transcript=PVP01_0112900.1 | gene=PVP01_0112900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-6, putative | transcript_product=proteasome subunit alpha type-6, putative | location=PvP01_01_v2:585236-586743(-) | protein_length=260 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117800.1-p1   -            241 10762at5820          -            224   3.6e-19   67.8   0.1   1   1   7.3e-22   4.3e-19   67.6   0.1     7   198     2   197     1   220 0.87 | transcript=PVP01_1117800.1 | gene=PVP01_1117800 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-7, putative | transcript_product=proteasome subunit alpha type-7, putative | location=PvP01_11_v2:755452-756744(-) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269700.1-p1   -            269 10762at5820          -            224   1.8e-17   62.3   2.2   1   1   3.8e-20   2.2e-17   62.0   2.2     8   187     6   187     2   215 0.82 | transcript=PVP01_1269700.1 | gene=PVP01_1269700 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-1, putative | transcript_product=proteasome subunit alpha type-1, putative | location=PvP01_12_v2:2930328-2931567(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116400.1-p1   -            256 10762at5820          -            224    0.0019   16.4   1.5   1   1   4.9e-06    0.0029   15.8   1.5    36   139    11   116     5   151 0.79 | transcript=PVP01_0116400.1 | gene=PVP01_0116400 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=PvP01_01_v2:743975-744899(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448600.1-p1   -            207 10762at5820          -            224    0.0021   16.3   0.1   1   1   5.8e-06    0.0034   15.6   0.1    42   103    44   106    35   204 0.83 | transcript=PVP01_1448600.1 | gene=PVP01_1448600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=PvP01_14_v2:2111594-2112822(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015600.1-p1   -            241 10762at5820          -            224    0.0084   14.3   0.9   1   1   2.2e-05     0.013   13.7   0.8    31   164    35   169    28   213 0.78 | transcript=PVP01_1015600.1 | gene=PVP01_1015600 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=PvP01_10_v2:702214-703680(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206900.1-p1   -            218 10762at5820          -            224     0.011   13.9   0.1   1   1   2.2e-05     0.013   13.7   0.1    59   132    35   110     2   161 0.67 | transcript=PVP01_0206900.1 | gene=PVP01_0206900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=PvP01_02_v2:287397-288625(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10762at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10762at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10762at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:10 2026
# [ok]
