#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7   1  26   1.6e-86     1e-82  276.5  30.1     1   195     1   224     1   229 0.88 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7   2  26   1.9e-94   1.3e-90  302.7  38.5   203   438   305   576   292   579 0.86 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7   3  26   2.3e-75   1.5e-71  239.4  29.2   437   591   603   781   601   794 0.90 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7   4  26   3.7e-79   2.4e-75  252.0  11.0   587   740   917  1070   911  1077 0.97 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7   5  26   2.2e-89   1.4e-85  286.0  21.4   742   936  1103  1336  1090  1342 0.80 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7   6  26  9.2e-125    6e-121  403.4  35.5   919  1170  1383  1647  1375  1657 0.94 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7   7  26   7.1e-38   4.7e-34  115.0   0.2  1180  1250  1701  1771  1685  1789 0.93 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7   8  26   1.4e-49   9.4e-46  153.8  13.3  1244  1351  1813  1918  1805  1937 0.85 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7   9  26   5.9e-06     0.039    9.1   0.0  1349  1375  1944  1970  1941  1979 0.88 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  10  26   1.6e-37     1e-33  113.9  13.0  1375  1474  2012  2116  2006  2123 0.93 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  11  26   5.1e-45   3.3e-41  138.7   1.9  1474  1567  2144  2239  2139  2257 0.93 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  12  26   8.5e-60   5.5e-56  187.8  10.1  1564  1695  2306  2438  2301  2445 0.94 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  13  26  2.5e-115  1.6e-111  372.1  27.9  1693  1926  2484  2727  2476  2744 0.93 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  14  26   7.7e-44     5e-40  134.8   2.7  1921  2017  2765  2862  2756  2869 0.92 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  15  26   1.5e-29   9.9e-26   87.4   7.5  2010  2083  2915  2988  2907  2990 0.95 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  16  26   3.1e-74     2e-70  235.7  19.5  2082  2213  3042  3177  3019  3185 0.91 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  17  26   3.2e-60   2.1e-56  189.2   1.0  2214  2335  3218  3349  3206  3354 0.90 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  18  26   3.6e-51   2.3e-47  159.2   7.5  2333  2432  3381  3489  3377  3496 0.92 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  19  26  6.8e-121  4.5e-117  390.5  28.8  2468  2686  3724  3962  3684  3973 0.91 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  20  26   1.5e-11   9.7e-08   27.7   0.0  2690  2725  4018  4053  3998  4087 0.88 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  21  26   5.6e-85   3.7e-81  271.3  18.1  2732  2918  4182  4400  4157  4438 0.83 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  22  26   9.5e-07    0.0062   11.7   1.5  2909  2947  4440  4478  4434  4488 0.88 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
