#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0407000.1-p1   -            330 8180at5820           -            296  2.9e-184  609.6   6.5   1   1  6.2e-187    4e-184  609.1   6.5     1   296     1   328     1   328 0.97 | transcript=PVP01_0407000.1 | gene=PVP01_0407000 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=PvP01_04_v2:290145-291137(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243600.1-p1   -            344 8180at5820           -            296     2e-55  186.6   1.2   1   1   4.1e-58   2.7e-55  186.2   1.2     4   260    13   279    10   295 0.81 | transcript=PVP01_1243600.1 | gene=PVP01_1243600 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 3, putative | transcript_product=replication factor C subunit 3, putative | location=PvP01_12_v2:1771968-1773436(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458800.1-p1   -            336 8180at5820           -            296     1e-46  158.0   3.2   1   1   3.2e-49   2.1e-46  157.0   3.2     6   226    18   241    13   287 0.85 | transcript=PVP01_1458800.1 | gene=PVP01_1458800 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=PvP01_14_v2:2573035-2574453(+) | protein_length=336 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911900.1-p1   -            349 8180at5820           -            296   4.2e-22   77.2   0.4   1   2   6.4e-25   4.2e-22   77.2   0.4     6   165     2   181     1   197 0.77 | transcript=PVP01_0911900.1 | gene=PVP01_0911900 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 5, putative | transcript_product=replication factor C subunit 5, putative | location=PvP01_09_v2:569402-570451(-) | protein_length=349 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911900.1-p1   -            349 8180at5820           -            296   4.2e-22   77.2   0.4   2   2      0.32   2.1e+02   -0.6   0.6   135   273   288   319   244   341 0.59 | transcript=PVP01_0911900.1 | gene=PVP01_0911900 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 5, putative | transcript_product=replication factor C subunit 5, putative | location=PvP01_09_v2:569402-570451(-) | protein_length=349 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0405400.1-p1   -            945 8180at5820           -            296     1e-09   36.5   4.7   1   2   7.3e-05     0.048   11.4   0.1     3    30   393   420   391   425 0.89 | transcript=PVP01_0405400.1 | gene=PVP01_0405400 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=PvP01_04_v2:248395-251232(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0405400.1-p1   -            945 8180at5820           -            296     1e-09   36.5   4.7   2   2   2.5e-09   1.6e-06   26.0   1.2    33   210   449   624   436   646 0.75 | transcript=PVP01_0405400.1 | gene=PVP01_0405400 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=PvP01_04_v2:248395-251232(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917400.1-p1   -            905 8180at5820           -            296   0.00016   19.5   0.0   1   2    0.0037       2.4    5.8   0.0     8    57   198   250   194   269 0.74 | transcript=PVP01_0917400.1 | gene=PVP01_0917400 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=PvP01_09_v2:775516-778707(-) | protein_length=905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917400.1-p1   -            905 8180at5820           -            296   0.00016   19.5   0.0   2   2   0.00011     0.071   10.8   0.0    15    64   612   661   605   711 0.83 | transcript=PVP01_0917400.1 | gene=PVP01_0917400 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=PvP01_09_v2:775516-778707(-) | protein_length=905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 8180at5820           -            296    0.0031   15.3   0.4   1   2   1.4e-05    0.0092   13.7   0.0    31    64   341   376   314   390 0.75 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 8180at5820           -            296    0.0031   15.3   0.4   2   2       1.5   9.7e+02   -2.8   0.2   140   190   469   519   459   535 0.80 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518700.1-p1   -           1090 8180at5820           -            296    0.0086   13.8   0.0   1   2    0.0054       3.5    5.2   0.0    23    59   376   411   357   425 0.75 | transcript=PVP01_0518700.1 | gene=PVP01_0518700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=PvP01_05_v2:775393-778665(+) | protein_length=1090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
