#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1223200.1-p1   -            481 5740at5820           -            398  1.2e-190  632.3  45.6   1   1  2.4e-193  1.8e-190  631.7  45.6    10   380    24   414    20   426 0.94 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 5740at5820           -            398   1.8e-68  230.0  62.0   1   6   2.3e-21   1.7e-18   65.5  14.2   131   270    95   232    71   237 0.88 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 5740at5820           -            398   1.8e-68  230.0  62.0   2   6   1.5e-25   1.1e-22   79.3   3.7    76   252   226   410   222   416 0.86 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 5740at5820           -            398   1.8e-68  230.0  62.0   3   6   4.8e-11   3.5e-08   31.5   5.1   191   282   650   761   642   767 0.72 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 5740at5820           -            398   1.8e-68  230.0  62.0   4   6   2.4e-07   0.00017   19.3   0.1   166   210   771   814   764   822 0.62 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 5740at5820           -            398   1.8e-68  230.0  62.0   5   6   1.5e-16   1.1e-13   49.6   9.2   238   339   895   996   891  1017 0.86 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 5740at5820           -            398   1.8e-68  230.0  62.0   6   6   8.6e-05     0.062   10.9   0.1   158   193  1018  1053  1011  1072 0.84 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 5740at5820           -            398     8e-60  201.5  73.8   1   4       3.6   2.6e+03   -4.3   2.1    51    70   113   132    66   151 0.52 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 5740at5820           -            398     8e-60  201.5  73.8   2   4   1.1e-23   7.7e-21   73.1  12.8    67   194   233   358   211   359 0.91 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 5740at5820           -            398     8e-60  201.5  73.8   3   4   1.4e-26     1e-23   82.6  26.0    69   266   300   497   297   506 0.88 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 5740at5820           -            398     8e-60  201.5  73.8   4   4   4.5e-24   3.2e-21   74.4  19.1    67   254   358   550   356   560 0.84 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 5740at5820           -            398   3.4e-51  173.1  51.0   1   2   3.1e-33   2.3e-30  104.5  30.7    60   269   204   415   196   417 0.87 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 5740at5820           -            398   3.4e-51  173.1  51.0   2   2   3.7e-26   2.7e-23   81.2  12.5   203   316   410   523   408   530 0.92 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 5740at5820           -            398   3.6e-45  153.2  23.7   1   2   8.5e-34   6.1e-31  106.4  16.7    68   272    32   231    26   236 0.92 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 5740at5820           -            398   3.6e-45  153.2  23.7   2   2   4.3e-17   3.1e-14   51.4   0.6   212   313   237   340   234   348 0.87 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 5740at5820           -            398   3.6e-40  136.8  34.8   1   3      0.95   6.9e+02   -2.4   0.1   102   150    66   117    63   123 0.63 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 5740at5820           -            398   3.6e-40  136.8  34.8   2   3     4e-36   2.9e-33  114.0  20.4    59   334   185   483   155   486 0.84 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 5740at5820           -            398   3.6e-40  136.8  34.8   3   3   9.9e-13   7.2e-10   37.0   6.4   225   315   434   529   433   551 0.86 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003000.1-p1   -            250 5740at5820           -            398     7e-20   70.0  11.7   1   1   1.4e-22     1e-19   69.5  11.7   133   266    95   230    90   236 0.90 | transcript=PVP01_1003000.1 | gene=PVP01_1003000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_10_v2:163742-165868(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119500.1-p1   -            282 5740at5820           -            398   3.4e-16   57.9   5.1   1   2   2.4e-12   1.8e-09   35.7   0.9    57   128   116   188    99   194 0.88 | transcript=PVP01_1119500.1 | gene=PVP01_1119500 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:825513-827766(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119500.1-p1   -            282 5740at5820           -            398   3.4e-16   57.9   5.1   2   2   1.1e-08   7.7e-06   23.8   0.2    76   125   197   246   193   249 0.96 | transcript=PVP01_1119500.1 | gene=PVP01_1119500 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:825513-827766(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
