#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0619800.1-p1   -            178 12431at5820          -            150   1.4e-92  305.6   3.9   1   1   6.2e-95   1.8e-92  305.3   3.9     1   150    11   176    11   176 0.96 | transcript=PVP01_0619800.1 | gene=PVP01_0619800 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_06_v2:806517-807053(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606100.1-p1   -            181 12431at5820          -            150   2.3e-47  158.8   0.1   1   1   1.1e-49   3.1e-47  158.4   0.1     1   148    11   174    11   176 0.91 | transcript=PVP01_0606100.1 | gene=PVP01_0606100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=PvP01_06_v2:245359-246687(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265000.1-p1   -            185 12431at5820          -            150   1.7e-35  120.3   1.9   1   1   9.1e-38   2.6e-35  119.7   1.9     5   149    14   175    11   176 0.87 | transcript=PVP01_1265000.1 | gene=PVP01_1265000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2704793-2705612(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526200.1-p1   -            191 12431at5820          -            150   1.1e-19   69.0   0.0   1   1     8e-22   2.3e-19   68.0   0.0     3   112    16   133    14   188 0.88 | transcript=PVP01_0526200.1 | gene=PVP01_0526200 | organism=Plasmodium_vivax_P01 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=PvP01_05_v2:1058972-1059963(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112100.1-p1   -            203 12431at5820          -            150   7.8e-12   43.5   2.7   1   2   3.8e-14   1.1e-11   43.1   1.7     6   111    25   146    21   160 0.74 | transcript=PVP01_1112100.1 | gene=PVP01_1112100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_11_v2:501498-502541(-) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112100.1-p1   -            203 12431at5820          -            150   7.8e-12   43.5   2.7   2   2       1.1     3e+02   -0.6   0.0    15    62   151   200   146   203 0.71 | transcript=PVP01_1112100.1 | gene=PVP01_1112100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_11_v2:501498-502541(-) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113100.1-p1   -            201 12431at5820          -            150   1.8e-11   42.3   1.9   1   1   9.1e-14   2.6e-11   41.8   1.9     8   148    11   168     5   170 0.73 | transcript=PVP01_0113100.1 | gene=PVP01_0113100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=PvP01_01_v2:591114-592334(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1021300.1-p1   -            200 12431at5820          -            150   1.4e-09   36.2   0.9   1   1   6.6e-12   1.9e-09   35.8   0.9     9   111    10   124     5   167 0.78 | transcript=PVP01_1021300.1 | gene=PVP01_1021300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=PvP01_10_v2:912112-913699(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411600.1-p1   -            205 12431at5820          -            150   4.1e-09   34.7   0.1   1   1   2.1e-11   6.1e-09   34.1   0.1     6   113    31   151    27   188 0.73 | transcript=PVP01_1411600.1 | gene=PVP01_1411600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=PvP01_14_v2:524820-526310(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020100.1-p1   -            207 12431at5820          -            150     7e-09   33.9   0.2   1   1   3.3e-11   9.4e-09   33.5   0.2     9   111    14   128    10   171 0.72 | transcript=PVP01_1020100.1 | gene=PVP01_1020100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=PvP01_10_v2:874174-874797(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718900.1-p1   -            191 12431at5820          -            150     2e-08   32.4   0.0   1   1     1e-10   2.9e-08   31.9   0.0     8   149    23   177    15   178 0.78 | transcript=PVP01_0718900.1 | gene=PVP01_0718900 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_07_v2:834565-835956(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
