#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0730500.1-p1   -            282 10420at5820          -            239  1.2e-147  488.6  17.3   1   1  3.3e-150  2.4e-147  487.7  17.3     1   239    20   278    20   278 0.94 | transcript=PVP01_0730500.1 | gene=PVP01_0730500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=PvP01_07_v2:1291584-1292432(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226300.1-p1   -            270 10420at5820          -            239   2.7e-19   68.4   0.9   1   2   1.3e-09   9.7e-07   27.3   0.5     9    59    40    90    36   114 0.91 | transcript=PVP01_1226300.1 | gene=PVP01_1226300 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=PvP01_12_v2:1033108-1033920(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226300.1-p1   -            270 10420at5820          -            239   2.7e-19   68.4   0.9   2   2   2.5e-13   1.8e-10   39.5   0.0   123   227   121   222   108   231 0.87 | transcript=PVP01_1226300.1 | gene=PVP01_1226300 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=PvP01_12_v2:1033108-1033920(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811500.1-p1   -            273 10420at5820          -            239   5.8e-17   60.8   6.7   1   2   1.1e-09   7.9e-07   27.6   0.2     9    62    61   114    55   136 0.83 | transcript=PVP01_0811500.1 | gene=PVP01_0811500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=PvP01_08_v2:492259-493080(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811500.1-p1   -            273 10420at5820          -            239   5.8e-17   60.8   6.7   2   2   4.6e-12   3.4e-09   35.4   2.4   121   227   139   244   126   251 0.87 | transcript=PVP01_0811500.1 | gene=PVP01_0811500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=PvP01_08_v2:492259-493080(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116400.1-p1   -            256 10420at5820          -            239   4.5e-13   48.1   5.5   1   1   3.1e-15   2.3e-12   45.8   5.5     6   230     5   226     2   233 0.81 | transcript=PVP01_0116400.1 | gene=PVP01_0116400 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=PvP01_01_v2:743975-744899(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206900.1-p1   -            218 10420at5820          -            239   1.2e-06   27.0   1.1   1   2   2.2e-06    0.0016   16.8   0.1     9    71     8    71     5    82 0.86 | transcript=PVP01_0206900.1 | gene=PVP01_0206900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=PvP01_02_v2:287397-288625(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206900.1-p1   -            218 10420at5820          -            239   1.2e-06   27.0   1.1   2   2   0.00049      0.36    9.1   0.1   155   216   134   195    83   209 0.89 | transcript=PVP01_0206900.1 | gene=PVP01_0206900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=PvP01_02_v2:287397-288625(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213100.1-p1   -            256 10420at5820          -            239   1.6e-06   26.6   0.3   1   1   5.6e-07   0.00041   18.7   0.3     7   214    31   213    27   236 0.69 | transcript=PVP01_0213100.1 | gene=PVP01_0213100 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=PvP01_02_v2:548876-550047(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448600.1-p1   -            207 10420at5820          -            239   1.2e-05   23.8   0.0   1   1   2.8e-08     2e-05   23.0   0.0     8    64    35    91    30   102 0.92 | transcript=PVP01_1448600.1 | gene=PVP01_1448600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=PvP01_14_v2:2111594-2112822(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117900.1-p1   -            246 10420at5820          -            239   2.7e-05   22.6   4.6   1   2   5.4e-05     0.039   12.2   0.5     7    72    28    93    23    96 0.87 | transcript=PVP01_1117900.1 | gene=PVP01_1117900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=PvP01_11_v2:758711-759594(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
