#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0213100.1-p1   -            256 10067at5820          -            223  1.2e-143  474.8   3.2   1   1  3.8e-144  2.1e-141  467.5   3.2     1   223     6   253     6   253 0.94 | transcript=PVP01_0213100.1 | gene=PVP01_0213100 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=PvP01_02_v2:548876-550047(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117900.1-p1   -            246 10067at5820          -            223   3.6e-34  116.8   0.0   1   1   8.5e-37   4.6e-34  116.4   0.0     2   185     4   183     3   212 0.89 | transcript=PVP01_1117900.1 | gene=PVP01_1117900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=PvP01_11_v2:758711-759594(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140400.1-p1   -            235 10067at5820          -            223   3.8e-31  106.9   0.1   1   1   9.4e-34   5.1e-31  106.5   0.1     2   186     5   183     4   213 0.91 | transcript=PVP01_1140400.1 | gene=PVP01_1140400 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-2, putative | transcript_product=proteasome subunit alpha type-2, putative | location=PvP01_11_v2:1723452-1724311(+) | protein_length=235 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117800.1-p1   -            241 10067at5820          -            223   3.9e-31  106.9   0.0   1   1   1.1e-33   5.7e-31  106.3   0.0     2   205     2   205     1   216 0.83 | transcript=PVP01_1117800.1 | gene=PVP01_1117800 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-7, putative | transcript_product=proteasome subunit alpha type-7, putative | location=PvP01_11_v2:755452-756744(-) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269700.1-p1   -            269 10067at5820          -            223   4.7e-30  103.4   0.2   1   1   1.1e-32     6e-30  103.0   0.2     3   181     6   175     4   213 0.82 | transcript=PVP01_1269700.1 | gene=PVP01_1269700 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-1, putative | transcript_product=proteasome subunit alpha type-1, putative | location=PvP01_12_v2:2930328-2931567(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112900.1-p1   -            260 10067at5820          -            223   1.3e-18   65.9   0.8   1   1   3.9e-21   2.1e-18   65.2   0.7     1   176     7   185     7   220 0.79 | transcript=PVP01_0112900.1 | gene=PVP01_0112900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-6, putative | transcript_product=proteasome subunit alpha type-6, putative | location=PvP01_01_v2:585236-586743(-) | protein_length=260 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823100.1-p1   -            253 10067at5820          -            223   1.9e-18   65.4   0.3   1   1   7.1e-21   3.8e-18   64.4   0.3     2   176     7   178     6   212 0.84 | transcript=PVP01_0823100.1 | gene=PVP01_0823100 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-3, putative | transcript_product=proteasome subunit alpha type-3, putative | location=PvP01_08_v2:1038808-1039667(+) | protein_length=253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226300.1-p1   -            270 10067at5820          -            223     3e-06   25.5   0.1   1   1   1.3e-07   7.2e-05   21.0   0.1    27   184    39   186    35   199 0.77 | transcript=PVP01_1226300.1 | gene=PVP01_1226300 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=PvP01_12_v2:1033108-1033920(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811500.1-p1   -            273 10067at5820          -            223   2.5e-05   22.5   0.9   1   1   3.5e-07   0.00019   19.6   0.9    29   177    62   201    52   221 0.75 | transcript=PVP01_0811500.1 | gene=PVP01_0811500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=PvP01_08_v2:492259-493080(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0730500.1-p1   -            282 10067at5820          -            223   4.7e-05   21.6   0.2   1   2   5.1e-06    0.0028   15.8   0.1    26    93    26    95    19   133 0.86 | transcript=PVP01_0730500.1 | gene=PVP01_0730500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=PvP01_07_v2:1291584-1292432(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0730500.1-p1   -            282 10067at5820          -            223   4.7e-05   21.6   0.2   2   2     0.021        12    4.0   0.0   133   185   177   231   148   266 0.70 | transcript=PVP01_0730500.1 | gene=PVP01_0730500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=PvP01_07_v2:1291584-1292432(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206900.1-p1   -            218 10067at5820          -            223      0.01   13.9   0.0   1   1   2.8e-05     0.015   13.4   0.0    38   113    19    96     6   105 0.79 | transcript=PVP01_0206900.1 | gene=PVP01_0206900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=PvP01_02_v2:287397-288625(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419400.1-p1   -            218 10067at5820          -            223     0.022   12.9   0.7   1   1   0.00011      0.06   11.4   0.7    54   125    69   140    23   147 0.77 | transcript=PVP01_1419400.1 | gene=PVP01_1419400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:842371-844138(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10067at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10067at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10067at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:33 2026
# [ok]
