#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1139100.1-p1   -           1849 1034at5820           -           1177         0 1777.6 118.4   1  10   7.7e-27     5e-23   79.5   0.1    12    72    99   159    93   167 0.96 | transcript=PVP01_1139100.1 | gene=PVP01_1139100 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_11_v2:1648146-1653695(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139100.1-p1   -           1849 1034at5820           -           1177         0 1777.6 118.4   2  10   2.6e-23   1.7e-19   67.8   0.0    85   158   264   352   255   358 0.79 | transcript=PVP01_1139100.1 | gene=PVP01_1139100 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_11_v2:1648146-1653695(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139100.1-p1   -           1849 1034at5820           -           1177         0 1777.6 118.4   3  10   7.2e-70   4.7e-66  222.0   5.6   158   277   418   537   415   541 0.96 | transcript=PVP01_1139100.1 | gene=PVP01_1139100 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_11_v2:1648146-1653695(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139100.1-p1   -           1849 1034at5820           -           1177         0 1777.6 118.4   4  10   2.4e-33   1.6e-29  101.0   0.3   271   351   580   663   574   665 0.91 | transcript=PVP01_1139100.1 | gene=PVP01_1139100 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_11_v2:1648146-1653695(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139100.1-p1   -           1849 1034at5820           -           1177         0 1777.6 118.4   5  10   9.7e-47   6.3e-43  145.4   1.0   347   454   682   795   680   807 0.93 | transcript=PVP01_1139100.1 | gene=PVP01_1139100 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_11_v2:1648146-1653695(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139100.1-p1   -           1849 1034at5820           -           1177         0 1777.6 118.4   6  10   6.8e-92   4.4e-88  295.0  15.4   449   632   837  1021   832  1026 0.97 | transcript=PVP01_1139100.1 | gene=PVP01_1139100 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_11_v2:1648146-1653695(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139100.1-p1   -           1849 1034at5820           -           1177         0 1777.6 118.4   7  10     5e-15   3.3e-11   40.4   0.1   629   680  1053  1109  1049  1116 0.91 | transcript=PVP01_1139100.1 | gene=PVP01_1139100 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_11_v2:1648146-1653695(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139100.1-p1   -           1849 1034at5820           -           1177         0 1777.6 118.4   8  10   8.4e-22   5.5e-18   62.8   0.7   681   732  1160  1211  1155  1218 0.93 | transcript=PVP01_1139100.1 | gene=PVP01_1139100 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_11_v2:1648146-1653695(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139100.1-p1   -           1849 1034at5820           -           1177         0 1777.6 118.4   9  10    7e-138  4.6e-134  447.3  25.8   730   978  1271  1527  1264  1531 0.96 | transcript=PVP01_1139100.1 | gene=PVP01_1139100 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_11_v2:1648146-1653695(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139100.1-p1   -           1849 1034at5820           -           1177         0 1777.6 118.4  10  10  1.8e-109  1.2e-105  353.2  16.7   970  1177  1623  1849  1612  1849 0.94 | transcript=PVP01_1139100.1 | gene=PVP01_1139100 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_11_v2:1648146-1653695(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1034at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1034at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1034at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:43 2026
# [ok]
