#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0821900.1-p1   -           2387 279at5820            -           1909         0 4088.0 110.5   1   6         0         0 1485.6   4.0     1   621     1   633     1   693 0.96 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 279at5820            -           1909         0 4088.0 110.5   2   6  6.1e-280  9.9e-277  920.1   9.2   632  1033   705  1120   698  1125 0.99 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 279at5820            -           1909         0 4088.0 110.5   3   6   0.00081       1.3    4.5   0.0  1030  1051  1178  1199  1171  1214 0.86 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 279at5820            -           1909         0 4088.0 110.5   4   6    5e-196  8.2e-193  641.8  14.7  1056  1372  1252  1584  1239  1599 0.92 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 279at5820            -           1909         0 4088.0 110.5   5   6  1.3e-279  2.1e-276  919.0  27.5  1360  1825  1760  2272  1737  2272 0.95 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821900.1-p1   -           2387 279at5820            -           1909         0 4088.0 110.5   6   6   2.6e-56   4.3e-53  178.6  34.9  1781  1909  2242  2387  2242  2387 0.82 | transcript=PVP01_0821900.1 | gene=PVP01_0821900 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=PvP01_08_v2:968777-975940(-) | protein_length=2387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 279at5820            -           1909    1e-227  757.5  40.6   1   5   3.8e-21   6.1e-18   62.0  12.0    17   190    57   240    50   251 0.79 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 279at5820            -           1909    1e-227  757.5  40.6   2   5   6.5e-42   1.1e-38  130.8   0.1   266   443   265   445   239   450 0.92 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 279at5820            -           1909    1e-227  757.5  40.6   3   5  4.4e-128  7.1e-125  416.5   3.8   456   934   515   988   500   998 0.94 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 279at5820            -           1909    1e-227  757.5  40.6   4   5   2.5e-26   4.1e-23   79.1   0.1  1133  1230  1441  1536  1416  1587 0.88 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225500.1-p1   -           1939 279at5820            -           1909    1e-227  757.5  40.6   5   5   4.5e-28   7.4e-25   84.9   1.7  1424  1565  1780  1920  1765  1934 0.93 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
