#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0943400.1-p1   -            584 6639at5820           -            446  7.8e-218  722.4  26.3   1   3     4e-70   5.2e-67  225.3   8.9     1   138    23   169    23   182 0.92 | transcript=PVP01_0943400.1 | gene=PVP01_0943400 | organism=Plasmodium_vivax_P01 | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=PvP01_09_v2:1917130-1918884(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0943400.1-p1   -            584 6639at5820           -            446  7.8e-218  722.4  26.3   2   3   1.6e-27   2.1e-24   84.8   0.0   139   190   206   257   199   263 0.95 | transcript=PVP01_0943400.1 | gene=PVP01_0943400 | organism=Plasmodium_vivax_P01 | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=PvP01_09_v2:1917130-1918884(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0943400.1-p1   -            584 6639at5820           -            446  7.8e-218  722.4  26.3   3   3    5e-129  6.5e-126  419.4   6.4   188   446   293   583   288   583 0.93 | transcript=PVP01_0943400.1 | gene=PVP01_0943400 | organism=Plasmodium_vivax_P01 | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=PvP01_09_v2:1917130-1918884(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810600.1-p1   -            188 6639at5820           -            446   2.6e-06   25.2   1.8   1   2   5.7e-09   7.5e-06   23.7   1.0     9    89    46   125    41   141 0.86 | transcript=PVP01_0810600.1 | gene=PVP01_0810600 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_08_v2:467502-469232(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810600.1-p1   -            188 6639at5820           -            446   2.6e-06   25.2   1.8   2   2      0.03        39    1.5   0.1    22    61   125   163   120   179 0.67 | transcript=PVP01_0810600.1 | gene=PVP01_0810600 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_08_v2:467502-469232(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 6639at5820           -            446   0.00048   17.7   5.1   1   2   0.00032      0.42    8.0   0.7    12    91  1007  1084   997  1092 0.81 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 6639at5820           -            446   0.00048   17.7   5.1   2   2   3.4e-05     0.045   11.2   0.3    17    66  1120  1169  1108  1182 0.76 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 6639at5820           -            446   0.00085   16.9   0.0   1   3   6.5e-07   0.00085   16.9   0.0    16    86    26    96    13   100 0.83 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 6639at5820           -            446   0.00085   16.9   0.0   2   3     0.088   1.2e+02   -0.0   0.2    33    97   142   207   139   243 0.68 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 6639at5820           -            446   0.00085   16.9   0.0   3   3         2   2.5e+03   -4.4   0.5   131   150   381   400   375   416 0.51 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0509200.1-p1   -            185 6639at5820           -            446   0.00099   16.7   7.9   1   2   1.1e-06    0.0014   16.2   4.7     4    80    15    90    12    99 0.78 | transcript=PVP01_0509200.1 | gene=PVP01_0509200 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_05_v2:409789-411232(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
