#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0305300.1-p1   -            756 6055at5820           -            595  5.5e-227  753.5  58.0   1   1    7e-223  2.1e-220  731.7  58.0     1   594     1   750     1   751 0.82 | transcript=PVP01_0305300.1 | gene=PVP01_0305300 | organism=Plasmodium_vivax_P01 | gene_product=rhoptry neck protein 1 | transcript_product=rhoptry neck protein 1 | location=PvP01_03_v2:282744-285506(-) | protein_length=756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 6055at5820           -            595   0.00065   16.8   5.8   1   2   2.2e-06   0.00065   16.8   5.8   291   349   115   170    74   215 0.51 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 6055at5820           -            595   0.00065   16.8   5.8   2   2       1.6   4.7e+02   -2.6   0.7   347   368   298   319   292   327 0.52 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 6055at5820           -            595     0.017   12.1  20.3   1   1   6.1e-05     0.018   12.0  20.3   271   359    41   128     3   137 0.48 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144600.1-p1   -            709 6055at5820           -            595     0.066   10.1   4.5   1   1   0.00049      0.15    9.0   4.5   285   331   291   331   271   349 0.48 | transcript=PVP01_1144600.1 | gene=PVP01_1144600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:1893939-1896068(-) | protein_length=709 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620500.1-p1   -            435 6055at5820           -            595       0.1    9.5  27.1   1   1   0.00054      0.16    8.9  27.1   257   392   244   382   223   410 0.49 | transcript=PVP01_0620500.1 | gene=PVP01_0620500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:831839-833146(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 6055at5820           -            595      0.11    9.5  45.1   1   2   6.6e-05      0.02   11.9  13.6   286   377   206   289   196   353 0.51 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 6055at5820           -            595      0.11    9.5  45.1   2   2     0.026       7.7    3.3  23.5   285   374   385   472   380   499 0.46 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 6055at5820           -            595      0.28    8.1  22.3   1   1    0.0018      0.54    7.1  22.3   307   410    49   157    29   187 0.39 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 6055at5820           -            595      0.55    7.1  27.0   1   1    0.0022      0.66    6.8  27.0   292   408    66   186    51   230 0.33 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0300700.1-p1   -            380 6055at5820           -            595      0.63    6.9  13.2   1   1    0.0028      0.84    6.5  13.2   285   391   119   225   105   274 0.59 | transcript=PVP01_0300700.1 | gene=PVP01_0300700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_03_v2:44811-46092(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
