#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0825700.1-p1   -            308 8615at5820           -            302  2.5e-218  721.4   3.1   1   1  3.9e-221  2.8e-218  721.3   3.1     1   302     6   308     6   308 0.99 | transcript=PVP01_0825700.1 | gene=PVP01_0825700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=PvP01_08_v2:1152073-1152999(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0726200.1-p1   -            307 8615at5820           -            302  1.6e-114  380.5   0.7   1   1  2.8e-117    2e-114  380.2   0.7     6   275    11   278     6   297 0.96 | transcript=PVP01_0726200.1 | gene=PVP01_0726200 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=PvP01_07_v2:1125205-1126128(-) | protein_length=307 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0723900.1-p1   -            516 8615at5820           -            302   1.3e-97  325.1   0.7   1   1  2.3e-100   1.6e-97  324.7   0.7     4   300   214   514   211   516 0.93 | transcript=PVP01_0723900.1 | gene=PVP01_0723900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=PvP01_07_v2:1022564-1024282(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334500.1-p1   -            304 8615at5820           -            302   5.7e-78  260.6   0.1   1   1   9.8e-81   7.1e-78  260.2   0.1    11   284    21   296    12   303 0.93 | transcript=PVP01_1334500.1 | gene=PVP01_1334500 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=PvP01_13_v2:1491222-1493377(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117400.1-p1   -            564 8615at5820           -            302   1.3e-57  193.7   0.4   1   1   2.6e-60   1.9e-57  193.2   0.4    19   283    56   336    43   348 0.86 | transcript=PVP01_0117400.1 | gene=PVP01_0117400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=PvP01_01_v2:781960-784201(-) | protein_length=564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116400.1-p1   -            682 8615at5820           -            302   9.6e-52  174.4   0.1   1   1   2.1e-54   1.5e-51  173.8   0.1    37   271   415   649   377   667 0.90 | transcript=PVP01_1116400.1 | gene=PVP01_1116400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=PvP01_11_v2:707209-709257(-) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 8615at5820           -            302   3.1e-50  169.5   0.5   1   1   3.1e-52   2.2e-49  166.7   0.5    20   275   541   831   532   849 0.83 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325700.1-p1   -            969 8615at5820           -            302   7.3e-41  138.7   2.0   1   1   2.3e-43   1.7e-40  137.5   2.0    37   274   250   496   231   528 0.80 | transcript=PVP01_1325700.1 | gene=PVP01_1325700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=PvP01_13_v2:1115890-1121168(-) | protein_length=969 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603400.1-p1   -           2056 8615at5820           -            302   1.8e-29  101.3   2.2   1   2   1.5e-05     0.011   13.4   0.0    17    85  1128  1200  1113  1206 0.77 | transcript=PVP01_0603400.1 | gene=PVP01_0603400 | organism=Plasmodium_vivax_P01 | gene_product=pseudophosphatase PPP8, putative | transcript_product=pseudophosphatase PPP8, putative | location=PvP01_06_v2:126689-133008(-) | protein_length=2056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603400.1-p1   -           2056 8615at5820           -            302   1.8e-29  101.3   2.2   2   2     3e-27   2.2e-24   84.6   0.7    71   271  1253  1500  1246  1519 0.71 | transcript=PVP01_0603400.1 | gene=PVP01_0603400 | organism=Plasmodium_vivax_P01 | gene_product=pseudophosphatase PPP8, putative | transcript_product=pseudophosphatase PPP8, putative | location=PvP01_06_v2:126689-133008(-) | protein_length=2056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8615at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8615at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8615at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:48 2026
# [ok]
