#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4   1  15   1.7e-66   1.1e-62  210.5   0.1     3   126     9   146     7   151 0.93 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4   2  15   5.3e-30   3.4e-26   89.5   0.0   127   185   188   246   185   251 0.96 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4   3  15     0.083   5.4e+02   -3.9   0.0   185   203   306   324   305   326 0.87 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4   4  15   1.1e-11   7.3e-08   28.8   1.3   200   236   412   448   405   453 0.89 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4   5  15   4.7e-38   3.1e-34  116.2   0.1   232   307   532   609   522   629 0.88 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4   6  15   1.9e-12   1.2e-08   31.4   0.0   319   354   701   736   686   755 0.90 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4   7  15   3.1e-78     2e-74  249.4   1.6   360   546   944  1171   932  1175 0.84 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4   8  15   6.4e-54   4.2e-50  168.8   6.6   546   647  1225  1326  1220  1331 0.97 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4   9  15    0.0017        11    1.7   0.0   648   671  1374  1400  1371  1409 0.80 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4  10  15   2.6e-48   1.7e-44  150.2   2.0   674   798  1460  1591  1447  1595 0.93 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315600.1-p1   -           2741 341at5820            -           1530         0 2085.1  72.4  11  15   4.6e-81     3e-77  258.8   0.1   805   982  1671  1867  1664  1872 0.90 | transcript=PVP01_0315600.1 | gene=PVP01_0315600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:688625-696850(+) | protein_length=2741 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
