#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0722700.1-p1   -            951 3545at5820           -            654         0 1075.5  56.6   1   5   3.6e-15   7.8e-12   42.7   0.0     1    64    47   116    47   121 0.85 | transcript=PVP01_0722700.1 | gene=PVP01_0722700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:979726-982581(+) | protein_length=951 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722700.1-p1   -            951 3545at5820           -            654         0 1075.5  56.6   2   5   3.9e-90   8.5e-87  290.4  16.9    64   273   138   370   129   375 0.92 | transcript=PVP01_0722700.1 | gene=PVP01_0722700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:979726-982581(+) | protein_length=951 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722700.1-p1   -            951 3545at5820           -            654         0 1075.5  56.6   3   5  2.2e-102   4.8e-99  330.9  10.7   273   444   454   626   447   637 0.97 | transcript=PVP01_0722700.1 | gene=PVP01_0722700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:979726-982581(+) | protein_length=951 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722700.1-p1   -            951 3545at5820           -            654         0 1075.5  56.6   4   5  9.1e-120    2e-116  388.3   1.7   435   621   672   858   667   864 0.97 | transcript=PVP01_0722700.1 | gene=PVP01_0722700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:979726-982581(+) | protein_length=951 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722700.1-p1   -            951 3545at5820           -            654         0 1075.5  56.6   5   5   8.6e-15   1.9e-11   41.5   2.1   622   653   919   950   898   951 0.89 | transcript=PVP01_0722700.1 | gene=PVP01_0722700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:979726-982581(+) | protein_length=951 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 3545at5820           -            654   3.4e-11   40.6   3.9   1   3    0.0073        16    2.1   0.0   370   439   173   248   157   284 0.60 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 3545at5820           -            654   3.4e-11   40.6   3.9   2   3   1.6e-06    0.0036   14.1   0.3   365   418   286   339   268   351 0.90 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 3545at5820           -            654   3.4e-11   40.6   3.9   3   3   1.6e-09   3.5e-06   24.0   0.1   321   430   353   463   341   482 0.85 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 3545at5820           -            654   1.7e-05   21.8   6.6   1   4   7.9e-09   1.7e-05   21.8   6.6   276   434    62   226    45   231 0.71 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 3545at5820           -            654   1.7e-05   21.8   6.6   2   4   0.00035      0.77    6.4   4.8   321   427   216   335   214   356 0.76 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 3545at5820           -            654   1.7e-05   21.8   6.6   3   4    0.0046       9.9    2.7   3.4   345   424   370   449   353   457 0.77 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 3545at5820           -            654   1.7e-05   21.8   6.6   4   4     0.015        32    1.0   0.5   353   405   452   504   447   518 0.85 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3545at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3545at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3545at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:20 2026
# [ok]
