#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1460100.1-p1   -            330 10503at5820          -            265  3.4e-131  435.0  23.6   1   3   5.6e-67   9.1e-64  214.0   6.6     1   125     1   133     1   142 0.91 | transcript=PVP01_1460100.1 | gene=PVP01_1460100 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-16, putative | transcript_product=syntaxin-16, putative | location=PvP01_14_v2:2607350-2608342(+) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1460100.1-p1   -            330 10503at5820          -            265  3.4e-131  435.0  23.6   2   3   1.4e-20   2.2e-17   61.9   0.3   123   167   161   205   152   216 0.91 | transcript=PVP01_1460100.1 | gene=PVP01_1460100 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-16, putative | transcript_product=syntaxin-16, putative | location=PvP01_14_v2:2607350-2608342(+) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1460100.1-p1   -            330 10503at5820          -            265  3.4e-131  435.0  23.6   3   3   2.7e-53   4.5e-50  169.1   3.4   167   265   229   330   221   330 0.93 | transcript=PVP01_1460100.1 | gene=PVP01_1460100 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-16, putative | transcript_product=syntaxin-16, putative | location=PvP01_14_v2:2607350-2608342(+) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222700.1-p1   -            281 10503at5820          -            265   8.4e-06   23.9   0.9   1   2     0.033        54    1.6   0.4    98   148    35    84    23   114 0.74 | transcript=PVP01_1222700.1 | gene=PVP01_1222700 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin, Qa-SNARE family, putative | transcript_product=syntaxin, Qa-SNARE family, putative | location=PvP01_12_v2:888320-889851(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222700.1-p1   -            281 10503at5820          -            265   8.4e-06   23.9   0.9   2   2   5.1e-09   8.4e-06   23.9   0.9   176   261   193   279   180   281 0.84 | transcript=PVP01_1222700.1 | gene=PVP01_1222700 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin, Qa-SNARE family, putative | transcript_product=syntaxin, Qa-SNARE family, putative | location=PvP01_12_v2:888320-889851(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254500.1-p1   -            212 10503at5820          -            265   0.00017   19.7   4.6   1   2      0.03        49    1.8   3.1   149   189    40    81    18   105 0.71 | transcript=PVP01_1254500.1 | gene=PVP01_1254500 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-6, putative | transcript_product=syntaxin-6, putative | location=PvP01_12_v2:2230940-2232696(+) | protein_length=212 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254500.1-p1   -            212 10503at5820          -            265   0.00017   19.7   4.6   2   2     1e-07   0.00017   19.7   4.6   168   261   116   211    86   212 0.77 | transcript=PVP01_1254500.1 | gene=PVP01_1254500 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-6, putative | transcript_product=syntaxin-6, putative | location=PvP01_12_v2:2230940-2232696(+) | protein_length=212 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904900.1-p1   -            362 10503at5820          -            265    0.0002   19.4   5.7   1   2     0.022        36    2.2   8.7    63   167    26   132     9   157 0.66 | transcript=PVP01_0904900.1 | gene=PVP01_0904900 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin, Qa-SNARE family, putative | transcript_product=syntaxin, Qa-SNARE family, putative | location=PvP01_09_v2:297765-299527(-) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904900.1-p1   -            362 10503at5820          -            265    0.0002   19.4   5.7   2   2   1.2e-07    0.0002   19.4   5.7   172   259   268   355   253   360 0.79 | transcript=PVP01_0904900.1 | gene=PVP01_0904900 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin, Qa-SNARE family, putative | transcript_product=syntaxin, Qa-SNARE family, putative | location=PvP01_09_v2:297765-299527(-) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10503at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10503at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10503at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:28 2026
# [ok]
