#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0907400.1-p1   -           1329 2585at5820           -            739         0 1136.1  73.8   1   8   6.2e-87   1.2e-84  283.3   9.1    12   182   104   287    93   290 0.94 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 2585at5820           -            739         0 1136.1  73.8   2   8   4.9e-95   9.1e-93  310.1  29.2   181   391   331   586   327   591 0.86 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 2585at5820           -            739         0 1136.1  73.8   3   8   1.2e-36   2.3e-34  117.0   0.0   387   457   683   753   671   759 0.95 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 2585at5820           -            739         0 1136.1  73.8   4   8     2e-16   3.8e-14   50.2   0.1   457   494   795   832   790   842 0.92 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 2585at5820           -            739         0 1136.1  73.8   5   8   1.1e-62   2.1e-60  203.1   6.0   493   596   875   979   865   984 0.95 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 2585at5820           -            739         0 1136.1  73.8   6   8   4.1e-27   7.6e-25   85.6   0.6   595   670  1042  1122  1028  1149 0.90 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 2585at5820           -            739         0 1136.1  73.8   7   8   9.9e-06    0.0018   14.8   0.0   663   690  1151  1178  1135  1183 0.88 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 2585at5820           -            739         0 1136.1  73.8   8   8     3e-25   5.7e-23   79.4   0.0   690   739  1273  1322  1267  1322 0.96 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429700.1-p1   -            923 2585at5820           -            739     2e-21   74.2  14.4   1   3   1.7e-08   3.2e-06   24.0   2.4    43   110   337   403   289   426 0.77 | transcript=PVP01_1429700.1 | gene=PVP01_1429700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=PvP01_14_v2:1276317-1279088(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429700.1-p1   -            923 2585at5820           -            739     2e-21   74.2  14.4   2   3       3.6   6.7e+02   -3.5   0.0   312   344   480   515   477   518 0.74 | transcript=PVP01_1429700.1 | gene=PVP01_1429700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=PvP01_14_v2:1276317-1279088(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429700.1-p1   -            923 2585at5820           -            739     2e-21   74.2  14.4   3   3   1.8e-18   3.4e-16   57.0   2.5   480   615   600   736   571   771 0.89 | transcript=PVP01_1429700.1 | gene=PVP01_1429700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=PvP01_14_v2:1276317-1279088(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261100.1-p1   -            528 2585at5820           -            739     1e-20   71.9   0.2   1   2   2.6e-06   0.00049   16.8   0.0    42   107   108   173    73   177 0.88 | transcript=PVP01_1261100.1 | gene=PVP01_1261100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=PvP01_12_v2:2514922-2518356(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261100.1-p1   -            528 2585at5820           -            739     1e-20   71.9   0.2   2   2   2.6e-17   4.8e-15   53.1   0.0   478   618   332   476   324   504 0.87 | transcript=PVP01_1261100.1 | gene=PVP01_1261100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=PvP01_12_v2:2514922-2518356(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1118600.1-p1   -            599 2585at5820           -            739   2.5e-20   70.6  10.5   1   3   4.7e-10   8.8e-08   29.1   0.0    39   112   133   211   123   217 0.82 | transcript=PVP01_1118600.1 | gene=PVP01_1118600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=PvP01_11_v2:784229-786377(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1118600.1-p1   -            599 2585at5820           -            739   2.5e-20   70.6  10.5   2   3      0.47        88   -0.6   0.1   313   348   270   309   261   342 0.73 | transcript=PVP01_1118600.1 | gene=PVP01_1118600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=PvP01_11_v2:784229-786377(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1118600.1-p1   -            599 2585at5820           -            739   2.5e-20   70.6  10.5   3   3   1.8e-14   3.3e-12   43.8   3.8   495   598   381   485   370   552 0.79 | transcript=PVP01_1118600.1 | gene=PVP01_1118600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=PvP01_11_v2:784229-786377(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 2585at5820           -            739   1.3e-19   68.3   2.1   1   2   0.00056       0.1    9.1   0.0    48   121    61   134    34   141 0.86 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 2585at5820           -            739   1.3e-19   68.3   2.1   2   2   3.2e-18     6e-16   56.1   3.1   484   608   278   403   245   413 0.85 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 2585at5820           -            739   3.9e-19   66.7   0.2   1   3     0.081        15    1.9   0.0    71   109    83   121    65   137 0.85 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 2585at5820           -            739   3.9e-19   66.7   0.2   2   3       1.4   2.6e+02   -2.2   0.0   102   162   223   278   217   304 0.66 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 2585at5820           -            739   3.9e-19   66.7   0.2   3   3   6.3e-20   1.2e-17   61.8   0.0   487   614   318   446   300   461 0.88 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 2585at5820           -            739   9.8e-18   62.0   0.1   1   2    0.0031      0.57    6.6   0.0    50   109    61   120    55   123 0.92 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
