#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1321100.1-p1   -            883 6508at5820           -            633         0 1082.5  71.9   1   3   2.5e-56   3.2e-53  179.9  13.2     6   102    23   119    19   128 0.96 | transcript=PVP01_1321100.1 | gene=PVP01_1321100 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily domain-containing protein, putative | transcript_product=major facilitator superfamily domain-containing protein, putative | location=PvP01_13_v2:952723-955374(-) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321100.1-p1   -            883 6508at5820           -            633         0 1082.5  71.9   2   3   4.5e-94   5.9e-91  304.5  21.6   127   340   231   469   220   509 0.81 | transcript=PVP01_1321100.1 | gene=PVP01_1321100 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily domain-containing protein, putative | transcript_product=major facilitator superfamily domain-containing protein, putative | location=PvP01_13_v2:952723-955374(-) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321100.1-p1   -            883 6508at5820           -            633         0 1082.5  71.9   3   3  7.4e-185  9.7e-182  604.4  23.5   358   633   571   883   475   883 0.85 | transcript=PVP01_1321100.1 | gene=PVP01_1321100 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily domain-containing protein, putative | transcript_product=major facilitator superfamily domain-containing protein, putative | location=PvP01_13_v2:952723-955374(-) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418900.1-p1   -            537 6508at5820           -            633   2.2e-39  134.1   6.4   1   3       0.2   2.6e+02   -1.5   0.0    44    79    76   111    73   130 0.72 | transcript=PVP01_0418900.1 | gene=PVP01_0418900 | organism=Plasmodium_vivax_P01 | gene_product=pantothenate transporter, putative | transcript_product=pantothenate transporter, putative | location=PvP01_04_v2:783368-784981(-) | protein_length=537 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418900.1-p1   -            537 6508at5820           -            633   2.2e-39  134.1   6.4   2   3   8.9e-13   1.2e-09   36.0   0.3   161   269   143   252   119   262 0.84 | transcript=PVP01_0418900.1 | gene=PVP01_0418900 | organism=Plasmodium_vivax_P01 | gene_product=pantothenate transporter, putative | transcript_product=pantothenate transporter, putative | location=PvP01_04_v2:783368-784981(-) | protein_length=537 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418900.1-p1   -            537 6508at5820           -            633   2.2e-39  134.1   6.4   3   3   1.9e-32   2.5e-29  100.9   0.8   405   627   289   513   245   520 0.84 | transcript=PVP01_0418900.1 | gene=PVP01_0418900 | organism=Plasmodium_vivax_P01 | gene_product=pantothenate transporter, putative | transcript_product=pantothenate transporter, putative | location=PvP01_04_v2:783368-784981(-) | protein_length=537 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1014700.1-p1   -            166 6508at5820           -            633     0.063   10.4   1.8   1   1   6.1e-05      0.08   10.1   1.8   422   488    61   132    50   152 0.75 | transcript=PVP01_1014700.1 | gene=PVP01_1014700 | organism=Plasmodium_vivax_P01 | gene_product=V-type proton ATPase 16 kDa proteolipid subunit, putative | transcript_product=V-type proton ATPase 16 kDa proteolipid subunit, putative | location=PvP01_10_v2:667174-668522(+) | protein_length=166 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270700.1-p1   -            393 6508at5820           -            633       1.2    6.2   9.2   1   1    0.0013       1.7    5.7   9.2   243   391   210   358   204   370 0.54 | transcript=PVP01_1270700.1 | gene=PVP01_1270700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2986799-2988087(+) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427000.1-p1   -            315 6508at5820           -            633       3.3    4.7  11.7   1   1    0.0033       4.3    4.4  11.7   224   390    35   208    17   262 0.58 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6508at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6508at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6508at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:17 2026
# [ok]
