#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0728900.1-p1   -           1734 1702at5820           -           1168         0 1468.3 187.1   1   7   7.1e-81   7.7e-78  260.9  10.0     1   178     1   209     1   217 0.87 | transcript=PVP01_0728900.1 | gene=PVP01_0728900 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=PvP01_07_v2:1215432-1220636(+) | protein_length=1734 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728900.1-p1   -           1734 1702at5820           -           1168         0 1468.3 187.1   2   7   7.5e-34   8.1e-31  105.1  13.8   176   277   264   384   258   397 0.83 | transcript=PVP01_0728900.1 | gene=PVP01_0728900 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=PvP01_07_v2:1215432-1220636(+) | protein_length=1734 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728900.1-p1   -           1734 1702at5820           -           1168         0 1468.3 187.1   3   7   4.6e-78   5.1e-75  251.5  36.7   275   512   408   689   406   700 0.87 | transcript=PVP01_0728900.1 | gene=PVP01_0728900 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=PvP01_07_v2:1215432-1220636(+) | protein_length=1734 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728900.1-p1   -           1734 1702at5820           -           1168         0 1468.3 187.1   4   7     1e-50   1.1e-47  160.9  13.2   511   620   810   924   806   929 0.93 | transcript=PVP01_0728900.1 | gene=PVP01_0728900 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=PvP01_07_v2:1215432-1220636(+) | protein_length=1734 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728900.1-p1   -           1734 1702at5820           -           1168         0 1468.3 187.1   5   7   3.6e-98   3.9e-95  318.1  32.4   616   847   997  1244   990  1256 0.93 | transcript=PVP01_0728900.1 | gene=PVP01_0728900 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=PvP01_07_v2:1215432-1220636(+) | protein_length=1734 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728900.1-p1   -           1734 1702at5820           -           1168         0 1468.3 187.1   6   7   1.3e-56   1.5e-53  180.5   6.5   845   983  1331  1482  1319  1484 0.89 | transcript=PVP01_0728900.1 | gene=PVP01_0728900 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=PvP01_07_v2:1215432-1220636(+) | protein_length=1734 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728900.1-p1   -           1734 1702at5820           -           1168         0 1468.3 187.1   7   7   2.3e-69   2.5e-66  222.7  27.9   946  1168  1480  1732  1479  1732 0.84 | transcript=PVP01_0728900.1 | gene=PVP01_0728900 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=PvP01_07_v2:1215432-1220636(+) | protein_length=1734 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1032600.1-p1   -            487 1702at5820           -           1168   2.1e-15   54.1  19.3   1   2      0.38   4.1e+02   -3.2   2.7   655   725   189   262   175   269 0.68 | transcript=PVP01_1032600.1 | gene=PVP01_1032600 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 8 | transcript_product=merozoite surface protein 8 | location=PvP01_10_v2:1390957-1392420(+) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1032600.1-p1   -            487 1702at5820           -           1168   2.1e-15   54.1  19.3   2   2   1.9e-18   2.1e-15   54.1  19.3   969  1167   275   483   271   486 0.74 | transcript=PVP01_1032600.1 | gene=PVP01_1032600 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 8 | transcript_product=merozoite surface protein 8 | location=PvP01_10_v2:1390957-1392420(+) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129100.1-p1   -            479 1702at5820           -           1168   1.8e-11   41.1  13.4   1   1   2.2e-14   2.4e-11   40.6  13.4  1064  1165   361   473   319   476 0.78 | transcript=PVP01_1129100.1 | gene=PVP01_1129100 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 10, putative | transcript_product=merozoite surface protein 10, putative | location=PvP01_11_v2:1255723-1257162(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1345600.1-p1   -            358 1702at5820           -           1168     8e-06   22.4   9.0   1   1   9.2e-09     1e-05   22.0   9.0  1089  1166   264   355   224   357 0.73 | transcript=PVP01_1345600.1 | gene=PVP01_1345600 | organism=Plasmodium_vivax_P01 | gene_product=EGF domain-containing protein, putative | transcript_product=EGF domain-containing protein, putative | location=PvP01_13_v2:1985010-1986086(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418400.1-p1   -            388 1702at5820           -           1168      0.18    7.9   3.8   1   1   0.00021      0.22    7.6   3.8  1107  1161   322   382   314   388 0.67 | transcript=PVP01_0418400.1 | gene=PVP01_0418400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 5 | transcript_product=merozoite surface protein 5 | location=PvP01_04_v2:762486-764022(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418300.1-p1   -            258 1702at5820           -           1168       1.8    4.6   5.0   1   1    0.0021       2.2    4.3   5.0  1107  1163   190   252   184   257 0.54 | transcript=PVP01_0418300.1 | gene=PVP01_0418300 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 4 | transcript_product=merozoite surface protein 4 | location=PvP01_04_v2:760550-761482(+) | protein_length=258 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1702at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1702at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1702at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:13 2026
# [ok]
