#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0935500.1-p1   -           1579 813at5820            -           1226         0 2357.7  76.0   1   4         0         0 1238.6  48.5     1   700    64   858    64   871 0.92 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 813at5820            -           1226         0 2357.7  76.0   2   4  3.4e-105  7.5e-102  340.2   0.9   710   871   972  1139   967  1150 0.96 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 813at5820            -           1226         0 2357.7  76.0   3   4  3.8e-103  8.2e-100  333.5   0.1   868  1029  1169  1337  1159  1343 0.94 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 813at5820            -           1226         0 2357.7  76.0   4   4  1.9e-139    4e-136  453.7   7.5  1029  1226  1382  1579  1373  1579 0.99 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1305700.1-p1   -           1433 813at5820            -           1226  5.1e-109  364.0  30.2   1   5   5.2e-12   1.1e-08   31.6  13.3    42   209   229   397   206   612 0.81 | transcript=PVP01_1305700.1 | gene=PVP01_1305700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=PvP01_13_v2:251704-256005(-) | protein_length=1433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1305700.1-p1   -           1433 813at5820            -           1226  5.1e-109  364.0  30.2   2   5   1.2e-12   2.7e-09   33.7   0.0   476   640   663   819   638   829 0.70 | transcript=PVP01_1305700.1 | gene=PVP01_1305700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=PvP01_13_v2:251704-256005(-) | protein_length=1433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1305700.1-p1   -           1433 813at5820            -           1226  5.1e-109  364.0  30.2   3   5   1.5e-33   3.3e-30  102.9   0.1   713   864   855  1009   838  1014 0.91 | transcript=PVP01_1305700.1 | gene=PVP01_1305700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=PvP01_13_v2:251704-256005(-) | protein_length=1433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1305700.1-p1   -           1433 813at5820            -           1226  5.1e-109  364.0  30.2   4   5   5.4e-31   1.2e-27   94.5   0.0   920  1005  1181  1271  1129  1275 0.81 | transcript=PVP01_1305700.1 | gene=PVP01_1305700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=PvP01_13_v2:251704-256005(-) | protein_length=1433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1305700.1-p1   -           1433 813at5820            -           1226  5.1e-109  364.0  30.2   5   5   3.5e-35   7.6e-32  108.3   1.6  1040  1154  1274  1388  1267  1431 0.96 | transcript=PVP01_1305700.1 | gene=PVP01_1305700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=PvP01_13_v2:251704-256005(-) | protein_length=1433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409300.1-p1   -           1346 813at5820            -           1226  1.3e-106  356.0  19.7   1   5   3.4e-09   7.4e-06   22.3   0.0    44   184    48   211    37   228 0.78 | transcript=PVP01_0409300.1 | gene=PVP01_0409300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=PvP01_04_v2:376027-380175(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409300.1-p1   -           1346 813at5820            -           1226  1.3e-106  356.0  19.7   2   5   3.7e-09     8e-06   22.1   0.0   472   540   488   558   456   571 0.72 | transcript=PVP01_0409300.1 | gene=PVP01_0409300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=PvP01_04_v2:376027-380175(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409300.1-p1   -           1346 813at5820            -           1226  1.3e-106  356.0  19.7   3   5   3.1e-34   6.7e-31  105.2   1.1   690   852   675   835   619   843 0.83 | transcript=PVP01_0409300.1 | gene=PVP01_0409300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=PvP01_04_v2:376027-380175(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
