#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1117600.1-p1   -            820 3374at5820           -            638         0 1084.9  62.3   1   4   1.1e-45   2.3e-42  144.0   5.0     1   114     7   147     7   167 0.82 | transcript=PVP01_1117600.1 | gene=PVP01_1117600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=PvP01_11_v2:748830-751292(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117600.1-p1   -            820 3374at5820           -            638         0 1084.9  62.3   2   4   5.8e-28   1.3e-24   85.4   4.0   124   180   191   247   155   252 0.86 | transcript=PVP01_1117600.1 | gene=PVP01_1117600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=PvP01_11_v2:748830-751292(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117600.1-p1   -            820 3374at5820           -            638         0 1084.9  62.3   3   4  7.1e-132  1.5e-128  428.7   7.9   178   400   280   509   266   515 0.95 | transcript=PVP01_1117600.1 | gene=PVP01_1117600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=PvP01_11_v2:748830-751292(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117600.1-p1   -            820 3374at5820           -            638         0 1084.9  62.3   4   4  7.5e-136  1.6e-132  441.8  22.9   393   638   555   819   551   819 0.93 | transcript=PVP01_1117600.1 | gene=PVP01_1117600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=PvP01_11_v2:748830-751292(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117700.1-p1   -           1296 3374at5820           -            638   2.3e-37  127.5  18.6   1   2     0.037        81    0.2   0.2    50    95    73   119    35   125 0.78 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117700.1-p1   -           1296 3374at5820           -            638   2.3e-37  127.5  18.6   2   2     1e-40   2.3e-37  127.5  18.6   144   522   130   518   117   530 0.77 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105700.1-p1   -           2780 3374at5820           -            638   2.9e-30  104.0  56.0   1   4     0.028        60    0.6   5.3    53   132    78   159    50   170 0.78 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105700.1-p1   -           2780 3374at5820           -            638   2.9e-30  104.0  56.0   2   4   5.9e-16   1.3e-12   45.8   7.1   121   268   680   850   658   857 0.76 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105700.1-p1   -           2780 3374at5820           -            638   2.9e-30  104.0  56.0   3   4   8.9e-16   1.9e-12   45.2  21.9   268   442   980  1184   955  1204 0.67 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105700.1-p1   -           2780 3374at5820           -            638   2.9e-30  104.0  56.0   4   4   3.3e-10   7.1e-07   26.8   0.3   458   525  1380  1447  1371  1456 0.93 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
