#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0419100.1-p1   -           1466 1791at5820           -            805         0 1396.3  76.2   1   8  5.6e-101   9.2e-98  326.9   0.4     1   158     1   158     1   178 0.96 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 1791at5820           -            805         0 1396.3  76.2   2   8   1.2e-21     2e-18   64.5   0.6   154   206   206   259   204   267 0.94 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 1791at5820           -            805         0 1396.3  76.2   3   8   4.6e-30   7.5e-27   92.4   0.3   207   268   324   385   319   400 0.94 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 1791at5820           -            805         0 1396.3  76.2   4   8   5.9e-86   9.6e-83  277.3  20.9   264   426   468   639   460   651 0.91 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 1791at5820           -            805         0 1396.3  76.2   5   8   4.3e-08   7.1e-05   19.7   0.2   414   442   724   752   717   773 0.89 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 1791at5820           -            805         0 1396.3  76.2   6   8   7.8e-05      0.13    8.9   0.0   434   483   962  1022   956  1029 0.80 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 1791at5820           -            805         0 1396.3  76.2   7   8  5.5e-182    9e-179  594.9  17.6   480   771  1090  1389  1084  1394 0.96 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 1791at5820           -            805         0 1396.3  76.2   8   8   7.5e-13   1.2e-09   35.5   0.1   770   805  1423  1458  1418  1458 0.94 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307800.1-p1   -            633 1791at5820           -            805   1.5e-32  111.3  19.5   1   4     0.006       9.8    2.7   0.0     1    41     1    45     1    59 0.79 | transcript=PVP01_0307800.1 | gene=PVP01_0307800 | organism=Plasmodium_vivax_P01 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=PvP01_03_v2:375864-377765(-) | protein_length=633 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307800.1-p1   -            633 1791at5820           -            805   1.5e-32  111.3  19.5   2   4   1.8e-09     3e-06   24.3   0.0    80   135    63   118    46   120 0.89 | transcript=PVP01_0307800.1 | gene=PVP01_0307800 | organism=Plasmodium_vivax_P01 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=PvP01_03_v2:375864-377765(-) | protein_length=633 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307800.1-p1   -            633 1791at5820           -            805   1.5e-32  111.3  19.5   3   4   1.5e-24   2.5e-21   74.1   5.4   495   639   117   274   114   283 0.79 | transcript=PVP01_0307800.1 | gene=PVP01_0307800 | organism=Plasmodium_vivax_P01 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=PvP01_03_v2:375864-377765(-) | protein_length=633 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
