#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0818200.1-p1   -            170 12744at5820          -            161  3.2e-105  347.5   1.3   1   1  5.6e-108  3.6e-105  347.4   1.3     1   161     3   170     3   170 0.98 | transcript=PVP01_0818200.1 | gene=PVP01_0818200 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_08_v2:789722-790234(+) | protein_length=170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916400.1-p1   -            193 12744at5820          -            161   8.3e-59  196.7   0.9   1   1   1.5e-61   9.5e-59  196.5   0.9     3   159    30   191    28   193 0.92 | transcript=PVP01_0916400.1 | gene=PVP01_0916400 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=PvP01_09_v2:736280-737370(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0115700.1-p1   -            262 12744at5820          -            161   2.8e-51  172.2   1.5   1   2        10   6.5e+03   -4.7   1.7    64    79     5    20     3    24 0.82 | transcript=PVP01_0115700.1 | gene=PVP01_0115700 | organism=Plasmodium_vivax_P01 | gene_product=cyclophilin, putative, peptidyl-prolyl cis-trans isomerase precursor, putative | transcript_product=peptidyl-prolyl cis-trans isomerase precursor, putative | location=PvP01_01_v2:702548-703336(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0115700.1-p1   -            262 12744at5820          -            161   2.8e-51  172.2   1.5   2   2   4.4e-54   2.8e-51  172.2   1.5     4   161    95   262    92   262 0.89 | transcript=PVP01_0115700.1 | gene=PVP01_0115700 | organism=Plasmodium_vivax_P01 | gene_product=cyclophilin, putative, peptidyl-prolyl cis-trans isomerase precursor, putative | transcript_product=peptidyl-prolyl cis-trans isomerase precursor, putative | location=PvP01_01_v2:702548-703336(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301700.1-p1   -            226 12744at5820          -            161   1.3e-45  153.7   0.5   1   1   2.5e-48   1.6e-45  153.5   0.5     3   160     7   173     5   174 0.89 | transcript=PVP01_1301700.1 | gene=PVP01_1301700 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_13_v2:84447-86136(-) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023800.1-p1   -            731 12744at5820          -            161   2.6e-37  126.8   0.3   1   1   8.9e-40   5.8e-37  125.7   0.3    15   144   588   709   579   717 0.88 | transcript=PVP01_1023800.1 | gene=PVP01_1023800 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:1029851-1032046(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005100.1-p1   -            203 12744at5820          -            161   3.9e-36  123.0   0.2   1   1     1e-38   6.6e-36  122.2   0.2    11   143    53   177    45   189 0.91 | transcript=PVP01_1005100.1 | gene=PVP01_1005100 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:242428-243039(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916900.1-p1   -            167 12744at5820          -            161   1.4e-33  114.6   0.5   1   1   3.5e-36   2.3e-33  114.0   0.5    11   146     8   136     2   149 0.91 | transcript=PVP01_0916900.1 | gene=PVP01_0916900 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_09_v2:757527-759141(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1434000.1-p1   -            276 12744at5820          -            161   1.2e-32  111.6   0.7   1   1   2.5e-35   1.6e-32  111.2   0.7     1   159    61   222    61   224 0.92 | transcript=PVP01_1434000.1 | gene=PVP01_1434000 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_14_v2:1457406-1458236(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117200.1-p1   -            590 12744at5820          -            161   7.3e-13   47.3   0.5   1   1   9.7e-14   6.3e-11   41.0   0.5    11   144    17   174     6   195 0.69 | transcript=PVP01_0117200.1 | gene=PVP01_0117200 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_01_v2:778390-780162(-) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325800.1-p1   -            456 12744at5820          -            161   8.4e-13   47.1   0.2   1   1   2.3e-15   1.5e-12   46.3   0.2    16   134    25   137    14   150 0.87 | transcript=PVP01_1325800.1 | gene=PVP01_1325800 | organism=Plasmodium_vivax_P01 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=PvP01_13_v2:1121936-1124357(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
