#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1270100.1-p1   -            928 3557at5820           -            694         0 1100.3  77.9   1   3   3.2e-85   3.4e-82  275.6  11.0     1   247     1   259     1   269 0.81 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270100.1-p1   -            928 3557at5820           -            694         0 1100.3  77.9   2   3     9e-05     0.098    9.7   1.1   180   226   320   372   299   376 0.68 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270100.1-p1   -            928 3557at5820           -            694         0 1100.3  77.9   3   3  3.8e-250  4.1e-247  820.7  50.7   220   694   389   920   379   920 0.92 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 3557at5820           -            694   6.7e-49  165.6  23.1   1   5       5.3   5.7e+03   -6.1   2.9   193   246   163   221   143   254 0.47 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 3557at5820           -            694   6.7e-49  165.6  23.1   2   5       1.2   1.3e+03   -3.9   4.0   163   254   334   432   323   454 0.63 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 3557at5820           -            694   6.7e-49  165.6  23.1   3   5   7.6e-14   8.3e-11   39.7   3.0    19   162   437   590   414   608 0.77 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 3557at5820           -            694   6.7e-49  165.6  23.1   4   5     0.012        13    2.7   0.4   277   321   612   660   601   670 0.76 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 3557at5820           -            694   6.7e-49  165.6  23.1   5   5   1.7e-44   1.9e-41  141.0  12.3   338   685   765  1115   755  1127 0.87 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615200.1-p1   -           1224 3557at5820           -            694   1.1e-45  154.9  14.6   1   3   2.5e-11   2.7e-08   31.4   0.4    11   162   562   723   552   735 0.66 | transcript=PVP01_0615200.1 | gene=PVP01_0615200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=PvP01_06_v2:640215-644561(-) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615200.1-p1   -           1224 3557at5820           -            694   1.1e-45  154.9  14.6   2   3     0.017        18    2.2   0.0   277   326   745   793   734   804 0.83 | transcript=PVP01_0615200.1 | gene=PVP01_0615200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=PvP01_06_v2:640215-644561(-) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615200.1-p1   -           1224 3557at5820           -            694   1.1e-45  154.9  14.6   3   3   1.1e-39   1.2e-36  125.0   6.3   360   685   850  1180   824  1188 0.84 | transcript=PVP01_0615200.1 | gene=PVP01_0615200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=PvP01_06_v2:640215-644561(-) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
