#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0117700.1-p1   -           1296 1942at5820           -            861         0 1301.1  73.2   1   7         0         0 1011.2  26.1     1   546     1   573     1   582 0.97 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117700.1-p1   -           1296 1942at5820           -            861         0 1301.1  73.2   2   7     9e-11     2e-07   28.1   0.0   549   579   614   644   605   651 0.88 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117700.1-p1   -           1296 1942at5820           -            861         0 1301.1  73.2   3   7   2.3e-37     5e-34  116.1  12.4   578   656   721   799   718   809 0.95 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117700.1-p1   -           1296 1942at5820           -            861         0 1301.1  73.2   4   7   1.3e-17   2.8e-14   50.8   0.1   653   705   827   879   820   889 0.93 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117700.1-p1   -           1296 1942at5820           -            861         0 1301.1  73.2   5   7   3.4e-08   7.3e-05   19.6   0.0   701   733   990  1023   984  1026 0.88 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117700.1-p1   -           1296 1942at5820           -            861         0 1301.1  73.2   6   7     2e-17   4.3e-14   50.2   9.7   760   832  1142  1222  1083  1233 0.81 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117700.1-p1   -           1296 1942at5820           -            861         0 1301.1  73.2   7   7   2.5e-13   5.4e-10   36.6   0.1   810   861  1243  1294  1226  1294 0.88 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117600.1-p1   -            820 1942at5820           -            861   2.7e-31  107.1  30.9   1   4   3.1e-05     0.068    9.8   0.6    21   109    21   116     1   175 0.71 | transcript=PVP01_1117600.1 | gene=PVP01_1117600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=PvP01_11_v2:748830-751292(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117600.1-p1   -            820 1942at5820           -            861   2.7e-31  107.1  30.9   2   4   1.7e-05     0.038   10.6   0.2   120   154   212   246   199   253 0.82 | transcript=PVP01_1117600.1 | gene=PVP01_1117600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=PvP01_11_v2:748830-751292(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117600.1-p1   -            820 1942at5820           -            861   2.7e-31  107.1  30.9   3   4   4.4e-24   9.5e-21   72.2   5.4   163   330   289   457   280   475 0.87 | transcript=PVP01_1117600.1 | gene=PVP01_1117600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=PvP01_11_v2:748830-751292(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117600.1-p1   -            820 1942at5820           -            861   2.7e-31  107.1  30.9   4   4   6.5e-11   1.4e-07   28.6   5.2   383   501   562   689   558   803 0.77 | transcript=PVP01_1117600.1 | gene=PVP01_1117600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=PvP01_11_v2:748830-751292(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
