#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1462200.1-p1   -           1103 2216at5820           -            639         0 1235.7  55.1   1   4  6.1e-253    4e-250  830.2  13.5     1   380     6   394     6   405 0.98 | transcript=PVP01_1462200.1 | gene=PVP01_1462200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=PvP01_14_v2:2682474-2685934(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462200.1-p1   -           1103 2216at5820           -            639         0 1235.7  55.1   2   4   5.2e-25   3.4e-22   77.2   5.9   362   453   476   583   454   587 0.78 | transcript=PVP01_1462200.1 | gene=PVP01_1462200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=PvP01_14_v2:2682474-2685934(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462200.1-p1   -           1103 2216at5820           -            639         0 1235.7  55.1   3   4    0.0007      0.45    7.4   0.2   439   466   633   660   621   676 0.72 | transcript=PVP01_1462200.1 | gene=PVP01_1462200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=PvP01_14_v2:2682474-2685934(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462200.1-p1   -           1103 2216at5820           -            639         0 1235.7  55.1   4   4  2.1e-103  1.3e-100  336.2  14.7   463   638   898  1073   876  1074 0.96 | transcript=PVP01_1462200.1 | gene=PVP01_1462200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=PvP01_14_v2:2682474-2685934(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204100.1-p1   -           1439 2216at5820           -            639   6.5e-52  175.4   9.3   1   1   2.3e-54   1.5e-51  174.2   9.3    32   365   748  1089   736  1106 0.86 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820800.1-p1   -           1285 2216at5820           -            639   4.4e-48  162.7  13.2   1   2   6.7e-51   4.4e-48  162.7  13.2    19   384   495   861   486   922 0.83 | transcript=PVP01_0820800.1 | gene=PVP01_0820800 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=PvP01_08_v2:911832-915689(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820800.1-p1   -           1285 2216at5820           -            639   4.4e-48  162.7  13.2   2   2      0.82   5.4e+02   -2.7   0.0   421   476  1053  1111  1047  1128 0.69 | transcript=PVP01_0820800.1 | gene=PVP01_0820800 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=PvP01_08_v2:911832-915689(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 2216at5820           -            639   6.9e-39  132.4  32.2   1   3   1.8e-16   1.2e-13   49.0   2.9    31   209    23   197     8   229 0.75 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 2216at5820           -            639   6.9e-39  132.4  32.2   2   3   2.4e-30   1.6e-27   94.8  14.1   169   389   241   475   233   564 0.81 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 2216at5820           -            639   6.9e-39  132.4  32.2   3   3      0.57   3.7e+02   -2.2   0.1   425   486  1005  1067   938  1071 0.71 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320600.1-p1   -           2292 2216at5820           -            639   2.6e-30  104.0   8.1   1   2   9.3e-10   6.1e-07   26.8   0.3     5   136   234   356   230   360 0.83 | transcript=PVP01_0320600.1 | gene=PVP01_0320600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-20, putative | transcript_product=kinesin-20, putative | location=PvP01_03_v2:866659-873537(+) | protein_length=2292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320600.1-p1   -           2292 2216at5820           -            639   2.6e-30  104.0   8.1   2   2   8.4e-26   5.5e-23   79.8   2.6   170   365   644   847   634   866 0.85 | transcript=PVP01_0320600.1 | gene=PVP01_0320600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-20, putative | transcript_product=kinesin-20, putative | location=PvP01_03_v2:866659-873537(+) | protein_length=2292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 2216at5820           -            639   8.8e-27   92.4  31.8   1   4     5e-12   3.2e-09   34.3   5.4    28   139   103   214    78   218 0.77 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 2216at5820           -            639   8.8e-27   92.4  31.8   2   4   2.6e-16   1.7e-13   48.5   2.3   145   305   256   427   238   436 0.80 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
