#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1301500.1-p1   -            323 8101at5820           -            292    6e-194  641.4  13.0   1   1  2.5e-196  2.8e-193  639.2  13.0     1   292    14   323    14   323 0.96 | transcript=PVP01_1301500.1 | gene=PVP01_1301500 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=PvP01_13_v2:59045-60016(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 8101at5820           -            292     3e-11   41.7   0.2   1   2     2e-05     0.021   12.6   0.0    26    98    41   116    16   123 0.76 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 8101at5820           -            292     3e-11   41.7   0.2   2   2   6.4e-10   6.9e-07   27.3   0.1    12   151   123   262   115   271 0.84 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621700.1-p1   -            301 8101at5820           -            292   3.2e-09   35.0   1.7   1   2   4.6e-09   4.9e-06   24.5   0.1    17   138    11   140     4   145 0.82 | transcript=PVP01_0621700.1 | gene=PVP01_0621700 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=PvP01_06_v2:884744-885649(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621700.1-p1   -            301 8101at5820           -            292   3.2e-09   35.0   1.7   2   2   2.2e-05     0.024   12.4   0.3    19   141   118   240   109   255 0.75 | transcript=PVP01_0621700.1 | gene=PVP01_0621700 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=PvP01_06_v2:884744-885649(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458700.1-p1   -            259 8101at5820           -            292   6.5e-09   34.0   7.1   1   1   5.3e-11   5.8e-08   30.9   7.1    58   260    33   239     5   255 0.75 | transcript=PVP01_1458700.1 | gene=PVP01_1458700 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=PvP01_14_v2:2569140-2570912(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 8101at5820           -            292   5.3e-07   27.7   1.3   1   3      0.13   1.4e+02    0.0   0.0    20    47    38    65    15    73 0.73 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 8101at5820           -            292   5.3e-07   27.7   1.3   2   3   5.6e-06    0.0061   14.4   0.2    20   103   751   831   739   840 0.82 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 8101at5820           -            292   5.3e-07   27.7   1.3   3   3   0.00015      0.16    9.7   0.1     9    97  1024  1110  1019  1117 0.74 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 8101at5820           -            292   4.6e-05   21.3  14.1   1   5     0.053        58    1.3   0.0    19    53    18    54     6    88 0.70 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 8101at5820           -            292   4.6e-05   21.3  14.1   2   5      0.44   4.8e+02   -1.7   0.0    22    68    77   124    58   139 0.70 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
