#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2   1  17   4.3e-83   2.8e-79  265.8   0.3     2   173    46   225    45   234 0.92 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2   2  17   1.1e-61   7.1e-58  194.8   1.4   162   272   257   367   247   376 0.92 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2   3  17   8.1e-98   5.3e-94  314.5   1.3   263   443   425   607   419   611 0.96 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2   4  17   1.8e-42   1.1e-38  131.2   1.9   441   527   684   770   680   774 0.96 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2   5  17   1.4e-23   8.9e-20   68.6   0.0   524   597   809   884   804   889 0.95 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2   6  17   0.00032       2.1    4.4   0.0   598   616   924   942   916   948 0.90 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2   7  17   1.3e-45   8.6e-42  141.5   5.2   616   732   968  1101   964  1107 0.87 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2   8  17   1.7e-07    0.0011   15.2   0.0   740   778  1203  1242  1191  1255 0.86 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2   9  17   2.2e-12   1.4e-08   31.5   0.0   778   814  1266  1302  1260  1304 0.93 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2  10  17   8.5e-09   5.5e-05   19.5   0.1   809   840  1321  1352  1316  1358 0.90 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029000.1-p1   -           2400 569at5820            -           1444         0 1771.2  98.2  11  17   2.3e-15   1.5e-11   41.3   0.0   848   908  1389  1464  1382  1474 0.84 | transcript=PVP01_1029000.1 | gene=PVP01_1029000 | organism=Plasmodium_vivax_P01 | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=PvP01_10_v2:1242450-1249774(+) | protein_length=2400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
