#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3   1  15   3.4e-29   2.2e-25   86.8   8.7     1    79     1   105     1   118 0.81 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3   2  15     2e-07    0.0013   14.6   0.0    73   108   220   255   204   257 0.87 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3   3  15   1.1e-21   7.2e-18   61.9   0.7    99   175   514   600   488   604 0.84 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3   4  15  1.1e-108  7.2e-105  350.4  20.3   169   376   684   894   675   926 0.96 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3   5  15   5.1e-76   3.3e-72  242.1  11.4   416   550  1121  1255  1074  1263 0.93 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3   6  15   1.5e-08   9.5e-05   18.4   2.8   549   576  1316  1347  1313  1356 0.88 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3   7  15   7.8e-51   5.1e-47  158.5   9.5   575   674  1422  1521  1414  1528 0.96 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3   8  15   2.5e-69   1.6e-65  219.9  17.8   676   802  1587  1721  1582  1727 0.94 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3   9  15     2e-26   1.3e-22   77.6   1.4   803   851  1785  1833  1779  1838 0.95 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3  10  15   2.5e-24   1.6e-20   70.7   0.2   852   901  1866  1915  1862  1924 0.94 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3  11  15   8.7e-26   5.7e-22   75.5   1.4   899   962  1954  2018  1949  2023 0.89 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3  12  15  1.4e-166  9.1e-163  542.3  27.7   959  1255  2106  2420  2096  2425 0.95 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3  13  15   3.4e-96   2.2e-92  308.9  19.9  1249  1425  2494  2670  2488  2691 0.96 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3  14  15   1.2e-98   7.7e-95  317.1   1.5  1439  1631  2859  3070  2853  3107 0.85 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206400.1-p1   -           3450 359at5820            -           1865         0 2784.8 251.3  15  15   2.6e-97   1.7e-93  312.7  27.4  1635  1865  3188  3448  3166  3448 0.85 | transcript=PVP01_1206400.1 | gene=PVP01_1206400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:249919-260723(+) | protein_length=3450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/359at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/359at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/359at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:36 2026
# [ok]
