#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0832300.1-p1   -           3720 240at5820            -           2846         0 3793.4  42.2   1   5  1.6e-190  2.9e-188  626.5   6.9     2   392     2   443     1   457 0.87 | transcript=PVP01_0832300.1 | gene=PVP01_0832300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1381096-1392628(+) | protein_length=3720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0832300.1-p1   -           3720 240at5820            -           2846         0 3793.4  42.2   2   5   1.8e-53   3.2e-51  171.8  16.4   393   703   490   910   483   929 0.69 | transcript=PVP01_0832300.1 | gene=PVP01_0832300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1381096-1392628(+) | protein_length=3720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0832300.1-p1   -           3720 240at5820            -           2846         0 3793.4  42.2   3   5  3.4e-187  6.1e-185  615.5   0.0   700  1401   954  1944   945  1948 0.73 | transcript=PVP01_0832300.1 | gene=PVP01_0832300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1381096-1392628(+) | protein_length=3720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0832300.1-p1   -           3720 240at5820            -           2846         0 3793.4  42.2   4   5   2.1e-87   3.8e-85  284.4   0.0  1397  1578  1978  2268  1975  2280 0.95 | transcript=PVP01_0832300.1 | gene=PVP01_0832300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1381096-1392628(+) | protein_length=3720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0832300.1-p1   -           3720 240at5820            -           2846         0 3793.4  42.2   5   5         0         0 2079.5  26.2  1586  2844  2326  3718  2312  3720 0.90 | transcript=PVP01_0832300.1 | gene=PVP01_0832300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1381096-1392628(+) | protein_length=3720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326300.1-p1   -            995 240at5820            -           2846   2.2e-07   26.3  25.7   1   2         4   7.3e+02   -5.2   3.2  1184  2142   404   446   379   470 0.39 | transcript=PVP01_1326300.1 | gene=PVP01_1326300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1141831-1144818(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326300.1-p1   -            995 240at5820            -           2846   2.2e-07   26.3  25.7   2   2   1.2e-09   2.2e-07   26.3  25.7  1049  1310   486   764   479   802 0.37 | transcript=PVP01_1326300.1 | gene=PVP01_1326300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1141831-1144818(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1306500.1-p1   -            352 240at5820            -           2846     2e-06   23.2  34.6   1   1   1.3e-08   2.3e-06   22.9  34.6  1180  1400    58   271    41   322 0.56 | transcript=PVP01_1306500.1 | gene=PVP01_1306500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:301120-302328(+) | protein_length=352 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427000.1-p1   -            315 240at5820            -           2846   0.00016   16.9  58.5   1   1     1e-06   0.00019   16.6  58.5  1192  1348   100   256    57   276 0.39 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1033200.1-p1   -            940 240at5820            -           2846   0.00022   16.4  37.9   1   3      0.99   1.8e+02   -3.2   9.0  1158  1319   104   167    14   193 0.47 | transcript=PVP01_1033200.1 | gene=PVP01_1033200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=PvP01_10_v2:1408959-1411781(-) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1033200.1-p1   -            940 240at5820            -           2846   0.00022   16.4  37.9   2   3    0.0029      0.52    5.2  23.9  1157  1295   349   477   250   491 0.36 | transcript=PVP01_1033200.1 | gene=PVP01_1033200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=PvP01_10_v2:1408959-1411781(-) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1033200.1-p1   -            940 240at5820            -           2846   0.00022   16.4  37.9   3   3   1.2e-06   0.00022   16.4  37.9  1128  1345   579   785   536   795 0.45 | transcript=PVP01_1033200.1 | gene=PVP01_1033200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=PvP01_10_v2:1408959-1411781(-) | protein_length=940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
