#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1468600.1-p1   -            731 6358at5820           -            578         0 1086.9  33.0   1   1         0         0 1086.9  33.0     6   575    91   693    82   697 0.95 | transcript=PVP01_1468600.1 | gene=PVP01_1468600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DRS1, putative | transcript_product=ATP-dependent RNA helicase DRS1, putative | location=PvP01_14_v2:2916347-2918542(+) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 6358at5820           -            578   1.1e-64  217.4   2.3   1   2     4e-13     7e-11   39.8   0.0    22    84   281   342   263   353 0.82 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 6358at5820           -            578   1.1e-64  217.4   2.3   2   2   1.7e-54   2.9e-52  176.4   1.1   101   385   403   678   389   704 0.89 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406600.1-p1   -            542 6358at5820           -            578   1.1e-61  207.5  12.2   1   1   1.5e-63   2.6e-61  206.3  12.2     9   402   125   494   115   531 0.88 | transcript=PVP01_0406600.1 | gene=PVP01_0406600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=PvP01_04_v2:278406-280034(+) | protein_length=542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1118600.1-p1   -            599 6358at5820           -            578   1.2e-61  207.4  11.1   1   2       9.2   1.6e+03   -4.3   7.7   500   539    17    53     1    69 0.43 | transcript=PVP01_1118600.1 | gene=PVP01_1118600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=PvP01_11_v2:784229-786377(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1118600.1-p1   -            599 6358at5820           -            578   1.2e-61  207.4  11.1   2   2   6.7e-64   1.2e-61  207.4  11.1    17   390   144   498   129   536 0.90 | transcript=PVP01_1118600.1 | gene=PVP01_1118600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=PvP01_11_v2:784229-786377(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 6358at5820           -            578   4.1e-60  202.4   0.3   1   1   2.3e-62   4.1e-60  202.4   0.3    22   399   221   587   218   597 0.87 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 6358at5820           -            578   1.7e-58  197.0   3.3   1   1   9.5e-61   1.7e-58  197.0   3.3    32   405   638  1005   627  1008 0.89 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261100.1-p1   -            528 6358at5820           -            578   5.2e-56  188.8   0.0   1   1   4.4e-58   7.7e-56  188.2   0.0    30   404   124   483   117   487 0.90 | transcript=PVP01_1261100.1 | gene=PVP01_1261100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=PvP01_12_v2:2514922-2518356(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025300.1-p1   -           1465 6358at5820           -            578   4.2e-53  179.2   2.6   1   2   2.4e-55   4.2e-53  179.2   2.6    30   402   694  1051   685  1075 0.88 | transcript=PVP01_1025300.1 | gene=PVP01_1025300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=PvP01_10_v2:1104501-1108898(-) | protein_length=1465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025300.1-p1   -           1465 6358at5820           -            578   4.2e-53  179.2   2.6   2   2       7.3   1.3e+03   -4.0  14.5   445   558  1232  1351  1225  1362 0.61 | transcript=PVP01_1025300.1 | gene=PVP01_1025300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=PvP01_10_v2:1104501-1108898(-) | protein_length=1465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 6358at5820           -            578   8.2e-53  178.3   7.1   1   1   2.9e-54     5e-52  175.7   7.1    22   390    62   443    44   451 0.86 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 6358at5820           -            578   1.5e-51  174.1   0.0   1   4      0.19        34    1.2   1.1   470   537   235   300   226   310 0.60 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 6358at5820           -            578   1.5e-51  174.1   0.0   2   4       4.6   8.1e+02   -3.3   1.2   429   462   364   399   344   421 0.65 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 6358at5820           -            578   1.5e-51  174.1   0.0   3   4   1.6e-33   2.9e-31  107.1   0.0    21   200   592   766   588   771 0.94 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 6358at5820           -            578   1.5e-51  174.1   0.0   4   4   1.6e-23   2.9e-21   74.1   0.0   211   389   801   967   793   983 0.79 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 6358at5820           -            578   1.9e-50  170.4   4.3   1   1   3.2e-52   5.7e-50  168.9   4.3    20   396    61   412    45   417 0.89 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
