#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0837600.1-p1   -           1364 1711at5820           -            877         0 1503.2 139.7   1   5  1.4e-196    1e-193  644.2  53.4     7   381   168   588   166   594 0.93 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837600.1-p1   -           1364 1711at5820           -            877         0 1503.2 139.7   2   5   4.2e-71     3e-68  229.0  19.5   382   520   707   845   703   877 0.95 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837600.1-p1   -           1364 1711at5820           -            877         0 1503.2 139.7   3   5      0.43   3.1e+02   -2.6   0.0   512   530   862   880   854   887 0.81 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837600.1-p1   -           1364 1711at5820           -            877         0 1503.2 139.7   4   5    1e-101   7.6e-99  330.3  26.9   523   713   956  1156   945  1160 0.95 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837600.1-p1   -           1364 1711at5820           -            877         0 1503.2 139.7   5   5   7.2e-96   5.2e-93  311.0  15.5   713   877  1196  1364  1192  1364 0.97 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 1711at5820           -            877   4.6e-53  178.8  22.8   1   7       1.1   8.1e+02   -4.0  14.6    43   253    62   274    50   310 0.69 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 1711at5820           -            877   4.6e-53  178.8  22.8   2   7   1.4e-40     1e-37  128.0  15.0   543   850   337   654   332   681 0.85 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 1711at5820           -            877   4.6e-53  178.8  22.8   3   7      0.84   6.1e+02   -3.6   0.0   853   875   704   726   701   727 0.88 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 1711at5820           -            877   4.6e-53  178.8  22.8   4   7   5.3e-05     0.039   10.3  10.1    73   185   861   979   821   993 0.76 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 1711at5820           -            877   4.6e-53  178.8  22.8   5   7     0.011       7.7    2.7   0.2   582   657  1161  1236  1146  1242 0.83 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 1711at5820           -            877   4.6e-53  178.8  22.8   6   7     0.061        44    0.2   0.2   637   685  1270  1317  1254  1327 0.85 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
