#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1142000.1-p1   -           1006 4120at5820           -            764         0 1496.3 127.3   1   5     4e-10   1.6e-07   28.3   4.5     1    34     1    35     1    40 0.90 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 4120at5820           -            764         0 1496.3 127.3   2   5   5.2e-08   2.1e-05   21.3   7.8    22    55    58    91    49   102 0.83 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 4120at5820           -            764         0 1496.3 127.3   3   5   1.6e-53   6.5e-51  171.8  52.2    31   171   124   267   106   273 0.84 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 4120at5820           -            764         0 1496.3 127.3   4   5   0.00026      0.11    9.1   0.9   164   187   305   330   301   335 0.79 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 4120at5820           -            764         0 1496.3 127.3   5   5         0         0 1287.3  33.7   185   764   417  1006   324  1006 0.93 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507300.1-p1   -           1170 4120at5820           -            764   3.7e-27   93.3   2.7   1   1   2.2e-29   8.9e-27   92.0   2.7   160   317   556   703   528   707 0.84 | transcript=PVP01_0507300.1 | gene=PVP01_0507300 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_05_v2:320142-323654(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 4120at5820           -            764     4e-16   56.8   1.2   1   2   9.9e-19     4e-16   56.8   1.2   185   316   763   880   758   885 0.91 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 4120at5820           -            764     4e-16   56.8   1.2   2   2      0.52   2.1e+02   -1.8   2.2   561   704  1209  1351  1161  1357 0.60 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1413400.1-p1   -           1071 4120at5820           -            764   2.9e-15   53.9   5.2   1   4   1.5e-16   6.2e-14   49.5   0.3   184   319   200   317   194   355 0.86 | transcript=PVP01_1413400.1 | gene=PVP01_1413400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_14_v2:584350-587565(+) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1413400.1-p1   -           1071 4120at5820           -            764   2.9e-15   53.9   5.2   2   4      0.14        59    0.0  12.6    27   110   602   685   586   695 0.61 | transcript=PVP01_1413400.1 | gene=PVP01_1413400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_14_v2:584350-587565(+) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1413400.1-p1   -           1071 4120at5820           -            764   2.9e-15   53.9   5.2   3   4         9   3.7e+03   -5.9   7.2    79   120   862   906   827   929 0.67 | transcript=PVP01_1413400.1 | gene=PVP01_1413400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_14_v2:584350-587565(+) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
