#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0415800.1-p1   -           2725 179at5820            -           2330         0 3439.1 112.8   1   3         0         0 1442.3  48.5    70  1059   159  1279   138  1292 0.90 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 179at5820            -           2330         0 3439.1 112.8   2   3         0         0 1060.1  20.2  1048  1716  1294  2000  1282  2003 0.96 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 179at5820            -           2330         0 3439.1 112.8   3   3  3.6e-288  1.8e-285  948.9  28.3  1722  2329  2061  2724  2057  2725 0.94 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 179at5820            -           2330   1.7e-66  222.7 109.5   1  10   3.6e-07   0.00018   16.9   2.7  1234  1403   199   369    97   405 0.73 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 179at5820            -           2330   1.7e-66  222.7 109.5   2  10   4.7e-09   2.4e-06   23.1   4.8   848   988   478   621   454   640 0.72 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 179at5820            -           2330   1.7e-66  222.7 109.5   3  10    0.0072       3.6    2.6   0.4  1101  1217   654   766   639   781 0.61 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 179at5820            -           2330   1.7e-66  222.7 109.5   4  10   2.6e-17   1.3e-14   50.5   2.9  1236  1384   819   969   813  1024 0.84 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 179at5820            -           2330   1.7e-66  222.7 109.5   5  10      0.03        15    0.6   0.0   110   173  1004  1074   974  1085 0.68 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 179at5820            -           2330   1.7e-66  222.7 109.5   6  10   1.2e-26   5.9e-24   81.5  12.7  1727  2037  1032  1330  1019  1336 0.72 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 179at5820            -           2330   1.7e-66  222.7 109.5   7  10      0.22   1.1e+02   -2.3   0.4  1066  1141  1403  1477  1374  1481 0.52 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 179at5820            -           2330   1.7e-66  222.7 109.5   8  10   6.9e-18   3.5e-15   52.4   7.0  1846  2048  1515  1732  1503  1749 0.79 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 179at5820            -           2330   1.7e-66  222.7 109.5   9  10    0.0024       1.2    4.2  14.2   141   265  1931  2058  1796  2060 0.59 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 179at5820            -           2330   1.7e-66  222.7 109.5  10  10   6.7e-17   3.3e-14   49.2   7.6  2158  2313  2026  2187  2004  2190 0.79 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136400.1-p1   -            362 179at5820            -           2330   4.3e-18   62.1  14.9   1   2   4.3e-07   0.00021   16.6   6.5  1923  2047    26   168    16   180 0.63 | transcript=PVP01_1136400.1 | gene=PVP01_1136400 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=PvP01_11_v2:1556940-1558028(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136400.1-p1   -            362 179at5820            -           2330   4.3e-18   62.1  14.9   2   2   2.4e-17   1.2e-14   50.7   1.5  1264  1384   181   306   169   324 0.82 | transcript=PVP01_1136400.1 | gene=PVP01_1136400 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=PvP01_11_v2:1556940-1558028(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 179at5820            -           2330   1.2e-15   54.0   0.6   1   3   1.4e-05    0.0068   11.7   0.0   650   701   109   165    95   170 0.80 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 179at5820            -           2330   1.2e-15   54.0   0.6   2   3   4.7e-07   0.00024   16.5   0.0   832   890   166   223   160   232 0.75 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 179at5820            -           2330   1.2e-15   54.0   0.6   3   3   3.6e-09   1.8e-06   23.5   0.1  1571  2249   301   342   284   394 0.45 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304300.1-p1   -            384 179at5820            -           2330   4.7e-13   45.4   2.1   1   2   5.1e-06    0.0026   13.1   3.0   885   977    26   117    18   130 0.59 | transcript=PVP01_0304300.1 | gene=PVP01_0304300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=PvP01_03_v2:227064-228218(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304300.1-p1   -            384 179at5820            -           2330   4.7e-13   45.4   2.1   2   2   9.3e-16   4.7e-13   45.4   2.1   607   717   233   355   231   376 0.79 | transcript=PVP01_0304300.1 | gene=PVP01_0304300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=PvP01_03_v2:227064-228218(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303800.1-p1   -            487 179at5820            -           2330   3.7e-12   42.4   4.2   1   2   7.3e-15   3.7e-12   42.4   4.2   610   687   147   230   124   243 0.82 | transcript=PVP01_0303800.1 | gene=PVP01_0303800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=PvP01_03_v2:195716-197179(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303800.1-p1   -            487 179at5820            -           2330   3.7e-12   42.4   4.2   2   2      0.03        15    0.6   0.1  2006  2037   251   281   235   305 0.63 | transcript=PVP01_0303800.1 | gene=PVP01_0303800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=PvP01_03_v2:195716-197179(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026000.1-p1   -            355 179at5820            -           2330   1.8e-09   33.5   9.3   1   1   6.6e-12   3.3e-09   32.6   9.3  1210  1398    93   302    50   323 0.67 | transcript=PVP01_1026000.1 | gene=PVP01_1026000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P38, putative | transcript_product=6-cysteine protein P38, putative | location=PvP01_10_v2:1136175-1137242(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 179at5820            -           2330      0.18    7.0  10.3   1   1   0.00045      0.23    6.6  10.3    55   125   188   258    67   304 0.54 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0412800.1-p1   -           1620 179at5820            -           2330      0.18    6.9   4.7   1   1   0.00051      0.25    6.5   4.7    54   118  1307  1371  1233  1381 0.55 | transcript=PVP01_0412800.1 | gene=PVP01_0412800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:522625-527487(-) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522700.1-p1   -            411 179at5820            -           2330      0.27    6.4  11.0   1   1   0.00066      0.33    6.1  11.0    63   105   127   169    95   231 0.64 | transcript=PVP01_0522700.1 | gene=PVP01_0522700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:914875-916300(-) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
