#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0811700.1-p1   -            543 6346at5820           -            465  1.3e-238  790.9  76.9   1   1  1.7e-240  2.3e-237  786.8  76.9    13   465    45   543    30   543 0.94 | transcript=PVP01_0811700.1 | gene=PVP01_0811700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:496985-498616(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 6346at5820           -            465   2.2e-10   38.5  18.2   1   3   1.7e-06    0.0022   15.4   0.4   131   221   211   301   154   303 0.83 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 6346at5820           -            465   2.2e-10   38.5  18.2   2   3   3.1e-12   4.1e-09   34.3   5.2    45   200   272   428   271   434 0.90 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 6346at5820           -            465   2.2e-10   38.5  18.2   3   3     0.028        36    1.5   6.5    79   192   414   530   405   546 0.60 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 6346at5820           -            465   5.4e-05   20.7  25.0   1   5     0.012        16    2.7   0.0   108   162    80   133    62   145 0.78 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 6346at5820           -            465   5.4e-05   20.7  25.0   2   5   0.00056      0.73    7.0   0.2   126   171   188   233   182   245 0.69 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 6346at5820           -            465   5.4e-05   20.7  25.0   3   5   3.1e-07   0.00041   17.8   8.7   123   222   341   445   331   483 0.79 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 6346at5820           -            465   5.4e-05   20.7  25.0   4   5     0.096   1.3e+02   -0.3   0.0   137   196   557   622   548   642 0.68 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 6346at5820           -            465   5.4e-05   20.7  25.0   5   5     0.034        44    1.2   0.2    54   109   743   799   735   820 0.86 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 6346at5820           -            465     0.076   10.3  12.6   1   4   3.4e-05     0.045   11.1   0.8    42   145    61   169    44   223 0.72 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 6346at5820           -            465     0.076   10.3  12.6   2   4      0.32   4.2e+02   -2.0   0.1    88   146   389   449   377   455 0.65 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
