#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0933000.1-p1   -            543 4696at5820           -            156    6e-103  339.8   3.0   1   1  1.7e-105  1.1e-102  339.0   3.0     1   156    21   177    21   177 0.99 | transcript=PVP01_0933000.1 | gene=PVP01_0933000 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=PvP01_09_v2:1413429-1415302(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819900.1-p1   -            535 4696at5820           -            156     6e-35  118.9   6.1   1   1   2.2e-37   1.4e-34  117.7   6.1     2   156    35   191    34   191 0.94 | transcript=PVP01_0819900.1 | gene=PVP01_0819900 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=PvP01_08_v2:879599-881206(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0832000.1-p1   -            540 4696at5820           -            156   1.5e-34  117.6   2.3   1   1   4.6e-37     3e-34  116.7   2.3     2   153    31   185    30   188 0.91 | transcript=PVP01_0832000.1 | gene=PVP01_0832000 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=PvP01_08_v2:1369899-1371678(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447600.1-p1   -            544 4696at5820           -            156   2.6e-34  116.8   1.9   1   2   4.1e-37   2.6e-34  116.8   1.9     2   156    30   184    29   184 0.96 | transcript=PVP01_1447600.1 | gene=PVP01_1447600 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=PvP01_14_v2:2070243-2072059(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447600.1-p1   -            544 4696at5820           -            156   2.6e-34  116.8   1.9   2   2       2.6   1.7e+03   -2.7   0.0    20    43   282   305   271   337 0.67 | transcript=PVP01_1447600.1 | gene=PVP01_1447600 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=PvP01_14_v2:2070243-2072059(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0833400.1-p1   -            532 4696at5820           -            156     1e-33  114.9   0.2   1   1   3.5e-36   2.3e-33  113.8   0.2     5   153    31   188    27   191 0.87 | transcript=PVP01_0833400.1 | gene=PVP01_0833400 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=PvP01_08_v2:1424407-1426005(+) | protein_length=532 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114100.1-p1   -            529 4696at5820           -            156   3.4e-30  103.5   3.2   1   1   1.4e-32   9.1e-30  102.1   3.2     2   153    29   180    28   183 0.93 | transcript=PVP01_1114100.1 | gene=PVP01_1114100 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=PvP01_11_v2:606928-609269(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410900.1-p1   -            544 4696at5820           -            156   9.7e-19   66.3   2.8   1   1   5.9e-21   3.8e-18   64.3   2.8     3   153    33   186    31   189 0.83 | transcript=PVP01_0410900.1 | gene=PVP01_0410900 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=PvP01_04_v2:447288-449168(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140200.1-p1   -            543 4696at5820           -            156   1.3e-18   65.8   1.6   1   1   6.6e-21   4.3e-18   64.2   1.6     4   146    27   173    24   183 0.86 | transcript=PVP01_1140200.1 | gene=PVP01_1140200 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=PvP01_11_v2:1716030-1717840(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450300.1-p1   -            710 4696at5820           -            156   1.3e-10   39.8   1.4   1   4       0.2   1.3e+02    0.9   0.5   100   125    49    74    44    80 0.86 | transcript=PVP01_1450300.1 | gene=PVP01_1450300 | organism=Plasmodium_vivax_P01 | gene_product=60 kDa chaperonin, putative | transcript_product=60 kDa chaperonin, putative | location=PvP01_14_v2:2195193-2197694(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450300.1-p1   -            710 4696at5820           -            156   1.3e-10   39.8   1.4   2   4     2e-13   1.3e-10   39.8   1.4     5   131    89   217    85   241 0.85 | transcript=PVP01_1450300.1 | gene=PVP01_1450300 | organism=Plasmodium_vivax_P01 | gene_product=60 kDa chaperonin, putative | transcript_product=60 kDa chaperonin, putative | location=PvP01_14_v2:2195193-2197694(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
