#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0505400.1-p1   -           1638 1196at5820           -           1074         0 1498.2  79.5   1   9   3.4e-38   2.2e-34  117.4   4.9     1    83     1   101     1   105 0.93 | transcript=PVP01_0505400.1 | gene=PVP01_0505400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:241988-247062(-) | protein_length=1638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0505400.1-p1   -           1638 1196at5820           -           1074         0 1498.2  79.5   2   9  8.6e-132  5.6e-128  427.3  22.2    83   285   155   357   147   360 0.98 | transcript=PVP01_0505400.1 | gene=PVP01_0505400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:241988-247062(-) | protein_length=1638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0505400.1-p1   -           1638 1196at5820           -           1074         0 1498.2  79.5   3   9   4.9e-74   3.2e-70  236.1  17.5   285   444   424   586   422   601 0.96 | transcript=PVP01_0505400.1 | gene=PVP01_0505400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:241988-247062(-) | protein_length=1638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0505400.1-p1   -           1638 1196at5820           -           1074         0 1498.2  79.5   4   9   4.3e-46   2.8e-42  143.6   0.0   438   576   608   768   590   776 0.86 | transcript=PVP01_0505400.1 | gene=PVP01_0505400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:241988-247062(-) | protein_length=1638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0505400.1-p1   -           1638 1196at5820           -           1074         0 1498.2  79.5   5   9     1e-12   6.8e-09   33.0   0.0   564   620   803   866   788   878 0.82 | transcript=PVP01_0505400.1 | gene=PVP01_0505400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:241988-247062(-) | protein_length=1638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0505400.1-p1   -           1638 1196at5820           -           1074         0 1498.2  79.5   6   9   1.4e-47   8.9e-44  148.5   1.0   626   746   903  1032   897  1039 0.91 | transcript=PVP01_0505400.1 | gene=PVP01_0505400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:241988-247062(-) | protein_length=1638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0505400.1-p1   -           1638 1196at5820           -           1074         0 1498.2  79.5   7   9   5.1e-29   3.3e-25   87.1   0.1   760   853  1123  1249  1091  1250 0.79 | transcript=PVP01_0505400.1 | gene=PVP01_0505400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:241988-247062(-) | protein_length=1638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0505400.1-p1   -           1638 1196at5820           -           1074         0 1498.2  79.5   8   9     5e-59   3.3e-55  186.4   0.4   852   985  1330  1478  1327  1487 0.92 | transcript=PVP01_0505400.1 | gene=PVP01_0505400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:241988-247062(-) | protein_length=1638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0505400.1-p1   -           1638 1196at5820           -           1074         0 1498.2  79.5   9   9   6.9e-43   4.5e-39  133.0   0.7   983  1074  1537  1638  1532  1638 0.87 | transcript=PVP01_0505400.1 | gene=PVP01_0505400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:241988-247062(-) | protein_length=1638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1196at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1196at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1196at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:16 2026
# [ok]
