#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0316400.1-p1   -           2095 918at5820            -           1171         0 1895.1 177.2   1   9  8.8e-167  5.7e-163  543.1  35.5     2   276     6   281     5   286 0.99 | transcript=PVP01_0316400.1 | gene=PVP01_0316400 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=PvP01_03_v2:711216-718879(+) | protein_length=2095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316400.1-p1   -           2095 918at5820            -           1171         0 1895.1 177.2   2   9   1.6e-72   1.1e-68  230.9  20.5   268   400   299   431   290   439 0.97 | transcript=PVP01_0316400.1 | gene=PVP01_0316400 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=PvP01_03_v2:711216-718879(+) | protein_length=2095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316400.1-p1   -           2095 918at5820            -           1171         0 1895.1 177.2   3   9   2.8e-32   1.8e-28   97.6   1.2   405   468   474   537   470   543 0.95 | transcript=PVP01_0316400.1 | gene=PVP01_0316400 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=PvP01_03_v2:711216-718879(+) | protein_length=2095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316400.1-p1   -           2095 918at5820            -           1171         0 1895.1 177.2   4   9   2.9e-06     0.019   11.4   0.2   464   486   745   767   728   772 0.84 | transcript=PVP01_0316400.1 | gene=PVP01_0316400 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=PvP01_03_v2:711216-718879(+) | protein_length=2095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316400.1-p1   -           2095 918at5820            -           1171         0 1895.1 177.2   5   9   5.4e-12   3.5e-08   30.4   0.0   484   519   841   876   838   887 0.92 | transcript=PVP01_0316400.1 | gene=PVP01_0316400 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=PvP01_03_v2:711216-718879(+) | protein_length=2095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316400.1-p1   -           2095 918at5820            -           1171         0 1895.1 177.2   6   9   6.5e-37   4.2e-33  113.0   3.1   515   586   935  1006   921  1009 0.93 | transcript=PVP01_0316400.1 | gene=PVP01_0316400 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=PvP01_03_v2:711216-718879(+) | protein_length=2095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316400.1-p1   -           2095 918at5820            -           1171         0 1895.1 177.2   7   9   1.3e-34   8.3e-31  105.4   4.0   583   655  1129  1201  1122  1205 0.95 | transcript=PVP01_0316400.1 | gene=PVP01_0316400 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=PvP01_03_v2:711216-718879(+) | protein_length=2095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316400.1-p1   -           2095 918at5820            -           1171         0 1895.1 177.2   8   9  2.6e-115  1.7e-111  372.6  22.1   656   923  1311  1595  1296  1611 0.90 | transcript=PVP01_0316400.1 | gene=PVP01_0316400 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=PvP01_03_v2:711216-718879(+) | protein_length=2095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316400.1-p1   -           2095 918at5820            -           1171         0 1895.1 177.2   9   9  8.1e-133  5.3e-129  430.6  36.8   919  1171  1841  2094  1823  2094 0.98 | transcript=PVP01_0316400.1 | gene=PVP01_0316400 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=PvP01_03_v2:711216-718879(+) | protein_length=2095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/918at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/918at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/918at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:08 2026
# [ok]
