#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0303800.1-p1   -            487 8163at5820           -            380  4.1e-169  561.3  33.8   1   2  1.4e-163  1.5e-160  533.1  19.7     7   343    20   360    16   375 0.88 | transcript=PVP01_0303800.1 | gene=PVP01_0303800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=PvP01_03_v2:195716-197179(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303800.1-p1   -            487 8163at5820           -            380  4.1e-169  561.3  33.8   2   2   9.4e-12     1e-08   33.4   6.3   289   379   390   481   374   482 0.62 | transcript=PVP01_0303800.1 | gene=PVP01_0303800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=PvP01_03_v2:195716-197179(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303700.1-p1   -            353 8163at5820           -            380   9.8e-29   99.2  13.9   1   1   1.3e-31   1.4e-28   98.7  13.9    15   268    63   338    57   348 0.78 | transcript=PVP01_0303700.1 | gene=PVP01_0303700 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=PvP01_03_v2:192753-193814(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 8163at5820           -            380   1.2e-28   99.0  68.8   1   9     0.015        16    3.1   1.3   108   152   528   572   519   592 0.89 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 8163at5820           -            380   1.2e-28   99.0  68.8   2   9   1.2e-11   1.4e-08   32.9   2.6   126   277   759   905   727   969 0.70 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 8163at5820           -            380   1.2e-28   99.0  68.8   3   9   5.4e-06    0.0059   14.4   3.9    99   181  1040  1122  1025  1193 0.70 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 8163at5820           -            380   1.2e-28   99.0  68.8   4   9     0.027        29    2.2   0.0   222   265  1466  1513  1437  1518 0.78 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 8163at5820           -            380   1.2e-28   99.0  68.8   5   9   9.4e-11     1e-07   30.1   2.3   124   283  1521  1666  1514  1696 0.82 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 8163at5820           -            380   1.2e-28   99.0  68.8   6   9     0.015        16    3.1   0.0   128   183  1809  1863  1777  1881 0.73 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 8163at5820           -            380   1.2e-28   99.0  68.8   7   9     0.038        41    1.7   0.1   239   271  1960  1995  1951  2002 0.73 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 8163at5820           -            380   1.2e-28   99.0  68.8   8   9   6.4e-13     7e-10   37.2  10.1   101   342  2231  2479  2218  2497 0.71 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
